fam,n_cdr,n_re,median_cdr,median_re,raw_difference,comparable,robust,delta,database,ambition_view,Region,outcome,outcome_label,direction_coded_difference,favours,pooled_effect,pooled_favours,agrees
GCAM,0,1,NA,705.5874196322478,NA,FALSE,FALSE,NA,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,NA,NA,743.212383966357,High-RE,NA
IMAGE,21,0,281.19557085849374,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,NA,NA,743.212383966357,High-RE,NA
MESSAGEix,25,3,258.9896754279367,595.1943247346017,336.204649306665,TRUE,TRUE,0.84,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,336.204649306665,High-RE,743.212383966357,High-RE,TRUE
POLES,4,1,438.5082381687354,452.5536009650781,14.045362796342715,TRUE,FALSE,1,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,14.045362796342715,High-RE,743.212383966357,High-RE,TRUE
REMIND,1,59,408.3569219456283,1009.5311947703639,601.1742728247356,TRUE,FALSE,1,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,601.1742728247356,High-RE,743.212383966357,High-RE,TRUE
WITCH,6,0,259.5836121528081,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,NA,NA,743.212383966357,High-RE,NA
AIM,1,3,2.8745109155329596,1.886336386870483,-0.9881745286624766,TRUE,FALSE,1,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,0.9881745286624766,High-RE,0.876576239261218,High-RE,TRUE
GCAM,7,1,0.511161092953793,0.6609557282283309,0.14979463527453796,TRUE,FALSE,-1,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,-0.14979463527453796,High-CDR,0.876576239261218,High-RE,FALSE
IMAGE,23,0,1.066565994420096,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,NA,NA,0.876576239261218,High-RE,NA
MESSAGEix,25,3,1.314692810026,1.1378322090041932,-0.17686060102180678,TRUE,TRUE,0.2,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,0.17686060102180678,High-RE,0.876576239261218,High-RE,TRUE
POLES,4,1,1.742060573167585,2.441149348735895,0.6990887755683102,TRUE,FALSE,-1,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,-0.6990887755683102,High-CDR,0.876576239261218,High-RE,FALSE
REMIND,1,59,0.5376711441348122,0.4258852178016858,-0.1117859263331264,TRUE,FALSE,0.3220338983050847,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,0.1117859263331264,High-RE,0.876576239261218,High-RE,TRUE
WITCH,6,0,4.265919108840766,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,NA,NA,0.876576239261218,High-RE,NA
AIM,1,3,2.684613604447631,1.9237878131022796,-0.7608257913453516,TRUE,FALSE,1,Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,0.7608257913453516,High-RE,0.8618871730386146,High-RE,TRUE
GCAM,7,1,0.4815815141461198,0.6082525747217011,0.1266710605755813,TRUE,FALSE,-0.7142857142857143,Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,-0.1266710605755813,High-CDR,0.8618871730386146,High-RE,FALSE
IMAGE,23,0,0.9981369298132368,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,NA,NA,0.8618871730386146,High-RE,NA
MESSAGEix,25,3,1.3016555524202393,1.038246512791583,-0.26340903962865636,TRUE,TRUE,0.36,Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,0.26340903962865636,High-RE,0.8618871730386146,High-RE,TRUE
POLES,4,1,1.847192525448533,2.3198074024068847,0.4726148769583516,TRUE,FALSE,-1,Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,-0.4726148769583516,High-CDR,0.8618871730386146,High-RE,FALSE
