database,ambition_view,Region,model_family,metric,label,unit,Pathway,n,median
Full,1.5C,R10AFRICA,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,1,0.0634176043865051
Full,1.5C,R10AFRICA,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,0,NA
Full,1.5C,R10AFRICA,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,1,17317.985329901127
Full,1.5C,R10AFRICA,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,0,NA
Full,1.5C,R10AFRICA,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,1,1058.8380598148808
Full,1.5C,R10AFRICA,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,0,NA
Full,1.5C,R10AFRICA,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,1,1074.532867335656
Full,1.5C,R10AFRICA,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,0,NA
Full,1.5C,R10AFRICA,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,1,1082.3722281011703
Full,1.5C,R10AFRICA,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,21,4.1007691888376385
Full,1.5C,R10AFRICA,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,0,NA
Full,1.5C,R10AFRICA,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,21,3.7940794916522287
Full,1.5C,R10AFRICA,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,0,NA
Full,1.5C,R10AFRICA,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,21,0.07852660653222057
Full,1.5C,R10AFRICA,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,0,NA
Full,1.5C,R10AFRICA,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,21,8077.6106251297915
Full,1.5C,R10AFRICA,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,0,NA
Full,1.5C,R10AFRICA,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,21,502.4926555735299
Full,1.5C,R10AFRICA,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,0,NA
Full,1.5C,R10AFRICA,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,21,539.606438257113
Full,1.5C,R10AFRICA,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,0,NA
Full,1.5C,R10AFRICA,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,21,544.169203098199
Full,1.5C,R10AFRICA,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,0,NA
