Model,Scenario,family,project,amb,Pathway,jobs_Renewables,jobs_Nuclear,jobs_Bioenergy,jobs_Fossil,jobs_Decommission,jobs_EnergyTotal
WITCH 5.0,ENGAGE-Feasibility-1000/Cost-Effective,WITCH,ENGAGE,2C,High-RE,237.3429684317852,6.180734994489105,58.25631518212869,17.899511645576638,1.1253662066011054,320.8048964605808
WITCH 5.0,ENGAGE-Feasibility-1000/Institutional,WITCH,ENGAGE,2C,High-RE,221.42944904944508,5.968919854667226,56.49245889671062,20.128006754024103,1.3635095941717792,305.38234414901876
WITCH 5.0,ENGAGE-Feasibility-1000/Technology,WITCH,ENGAGE,2C,High-RE,259.5834585084705,6.5094621857504,41.55342318988101,17.547634779953174,1.1124113114821643,326.3063899755373
WITCH 5.0,ENGAGE-Feasibility-1000/Technology & Institutional,WITCH,ENGAGE,2C,High-RE,257.93846521256256,6.306152248766553,30.395802513989754,19.758053529382458,1.2964507537318242,315.6949242584331
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Institutional,WITCH,ENGAGE,2C,High-RE,221.38428731731074,5.979872848549257,56.217873206922675,20.212269016957695,1.39224211208958,305.18654450182993
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Institutional [Optimistic],WITCH,ENGAGE,2C,High-RE,228.9290410554466,6.094230071981202,50.619837354954974,18.431321226400552,1.2031565036182985,305.27758621240156
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional,WITCH,ENGAGE,2C,High-RE,257.93846521256256,6.306152248766553,30.395802513989754,19.758053529382458,1.2964507537318242,315.6949242584331
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Optimistic],WITCH,ENGAGE,2C,High-RE,255.8118181966527,6.392804690155065,30.128127012504613,18.214687683434846,1.1909869734744047,311.7384245562216
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Pessimistic],WITCH,ENGAGE,2C,High-RE,232.7033437961197,6.158718933825197,22.618101806533957,20.645439409869585,1.1887700770805991,283.3143740234291
WITCH 5.0,ENGAGE-INDCi2030-500f,WITCH,ENGAGE,1.5C,High-CDR,353.03230185157685,13.975509591489594,59.406982776679186,24.501691787917245,6.664568917665675,457.5810549253285
WITCH 5.0,ENGAGE-INDCi2100,WITCH,ENGAGE,2C,High-RE,325.37202325876353,13.541009341343894,23.728087010816395,32.83376529794611,6.856633994214386,402.3315189030843
WITCH 5.0,ENGAGE-NPi2020-400f,WITCH,ENGAGE,1.5C,High-CDR,341.57741156486924,13.727789022193045,66.44101773602803,20.167607863802353,6.45134349165415,448.3651696785468
WITCH 5.0,ENGAGE-NPi2020-450,WITCH,ENGAGE,1.5C,High-CDR,321.7927699209445,13.58753501286331,60.54640350387314,21.144969587559178,6.294897437261053,423.36657546250126
WITCH 5.0,ENGAGE-NPi2020-450f,WITCH,ENGAGE,1.5C,High-CDR,338.9532112885568,13.703918126869688,65.95845494844232,20.300594487749468,6.416953108902789,445.33313196052103
WITCH 5.0,ENGAGE-NPi2020-500,WITCH,ENGAGE,1.5C,High-CDR,326.3497188836567,13.569611257142228,60.95355807371274,20.73497026654484,6.319112566253842,427.9269710473103
WITCH 5.0,ENGAGE-NPi2020-500f,WITCH,ENGAGE,1.5C,High-CDR,336.44047462741304,13.682235105889289,65.52682357907848,20.434949148895512,6.380404372880983,442.46488683415726
WITCH 5.0,ENGAGE-NPi2020-900,WITCH,ENGAGE,2C,High-RE,315.22911678245265,13.141559392548729,60.06293582614113,20.94294956696353,6.073998369519197,415.4505599376252
WITCH 5.0,NAVIGATE Demand-1.5°C-ele_u,WITCH,NAVIGATE,2C,High-RE,465.22104983732555,10.560509915097157,23.01177373969773,20.822327953367324,8.790292262530919,528.4059537080187
WITCH 5.0,NAVIGATE Demand-1.5°C-ref,WITCH,NAVIGATE,2C,High-RE,447.57678524896005,9.584311700046957,24.653136340215312,20.32498893504452,8.299942162455233,510.43916438672204
WITCH 5.0,NAVIGATE Demand-2.0°C-ele_u,WITCH,NAVIGATE,2C,High-RE,433.26048700801374,10.838704959100525,24.65611137700556,21.457981550517857,8.08572117558027,498.2990060702179
WITCH 5.0,NAVIGATE Demand-2.0°C-ref,WITCH,NAVIGATE,2C,High-RE,414.24978880114,9.518034118861092,26.31683309131164,19.58477341845769,7.521773565094756,477.19120299486514
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Cost-Effective,POLES,ENGAGE,2C,High-RE,277.4083279147169,11.181224392655727,112.78987569714613,57.71407701102206,1.5628383506959758,460.6563433662368
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Institutional,POLES,ENGAGE,2C,High-RE,254.0368277658537,8.94506782584908,78.10922606621124,65.77127821161477,1.8074116144129397,408.6698114839417
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Technology,POLES,ENGAGE,2C,High-RE,284.9155216272229,9.776476053336857,112.71190233575568,55.86712949971842,1.5694214246588938,464.8404509406928
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,POLES,ENGAGE,2C,High-RE,228.22765367878583,8.722263164679037,60.67069400116199,49.47945526977658,1.9508658632922473,349.05093197769565
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Technology & Institutional,POLES,ENGAGE,2C,High-RE,277.3857596203194,9.478294470915749,73.54170872849936,61.826988100587016,1.8245452130604134,424.0572961333819
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,POLES,ENGAGE,2C,High-RE,308.47404160214836,12.7618504280168,111.22410080330525,59.47425307662376,1.7095055343671002,493.64375144446126
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Institutional,POLES,ENGAGE,2C,High-RE,257.3286508654551,8.962906575952509,80.35953444293462,64.1887755334346,2.1988403127534077,413.0387077305302
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Institutional [Optimistic],POLES,ENGAGE,2C,High-RE,268.2280392285225,9.511203396171528,82.89573118160524,59.1817569877591,1.9872976576217762,421.80402845168015
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Technology,POLES,ENGAGE,1.5C,High-RE,308.8901613365418,10.55417601389214,87.53801830131341,47.53670568723746,1.60556928897884,456.12463062796354
REMIND 2.1,R2p1-SSP2-Baseline,REMIND,R2p1,2C,High-RE,402.5450013629775,3.8983674875106646,3.794191569909981,53.990491453934695,4.655814256635464,468.8838661309683
