database,ambition_view,Region,metric,label,unit,Pathway,n,median
Full,2C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,212,186.4954992507894
Full,2C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,234,471.15794255985145
Full,2C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,212,292.73691016942
Full,2C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,234,536.0601226521406
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,212,294.40860114420377
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,234,542.5116411267561
Full,2C,R10AFRICA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,212,1.4304905588668213
Full,2C,R10AFRICA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,3.0152060714507827
Full,2C,R10AFRICA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,212,1.1293153035117816
Full,2C,R10AFRICA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,3.489119245863318
Full,2C,R10AFRICA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,212,0.0590375980586135
Full,2C,R10AFRICA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.013087716206241603
Full,2C,R10AFRICA,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,212,2504.9578633004903
Full,2C,R10AFRICA,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,8209.971869999998
Full,2C,R10AFRICA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,212,229.1815855608097
Full,2C,R10AFRICA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,724.1220547389034
Full,2C,R10AFRICA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,212,277.4517212045501
Full,2C,R10AFRICA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,751.2034317854301
Full,2C,R10AFRICA,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,212,278.3390997443338
Full,2C,R10AFRICA,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,754.92722354545
Full,2C,R10CHINA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,215,3.2649152789142786
Full,2C,R10CHINA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,5.22254113972661
Full,2C,R10CHINA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,215,2.886564966262705
Full,2C,R10CHINA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,4.6534128537261825
Full,2C,R10CHINA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,215,0.7117258223204749
Full,2C,R10CHINA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.6694970594814398
Full,2C,R10CHINA+,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,215,6431.175927017842
