database,ambition_view,fuel,tech_group,measure,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,raw_difference_high_re_minus_high_cmt
SCI-vetted,1.5C,oil,Fossil,upstream_jobs_displaced_thousands,6,6,9.281953188669764,5.175591574676164,-4.1063616139936
SCI-vetted,1.5C,solar_pv,Renewables,decommission_jobyears_thousands,6,6,20459.85052059094,39514.72191294588,19054.871392354944
SCI-vetted,1.5C,solar_pv,Renewables,inferred_retirements_GW,6,6,32388.818072605136,59530.26427193219,27141.446199327052
SCI-vetted,1.5C,solar_pv,Renewables,plant_jobs_displaced_thousands,6,6,12204.0967020895,24344.70583271113,12140.60913062163
SCI-vetted,1.5C,solar_pv,Renewables,upstream_jobs_displaced_thousands,6,6,0,0,0
SCI-vetted,1.5C,wind_on,Renewables,decommission_jobyears_thousands,6,6,1501.3357412833764,2049.4350571719206,548.0993158885442
SCI-vetted,1.5C,wind_on,Renewables,inferred_retirements_GW,6,6,13779.246519868906,19156.77802805822,5377.531508189313
SCI-vetted,1.5C,wind_on,Renewables,plant_jobs_displaced_thousands,6,6,6055.3458123933015,8011.30247051743,1955.9566581241288
SCI-vetted,1.5C,wind_on,Renewables,upstream_jobs_displaced_thousands,6,6,0,0,0
SCI-vetted,2C,biomass,Bioenergy,decommission_jobyears_thousands,63,63,1974.0077043021138,1170.3468096274214,-803.6608946746924
SCI-vetted,2C,biomass,Bioenergy,inferred_retirements_GW,63,63,1246.7432772147934,708.7395518628507,-538.0037253519426
SCI-vetted,2C,biomass,Bioenergy,plant_jobs_displaced_thousands,63,63,4194.354943326927,2334.0794637266554,-1860.2754796002719
SCI-vetted,2C,biomass,Bioenergy,upstream_jobs_displaced_thousands,63,63,151.56843903148086,74.75848896922157,-76.80995006225929
SCI-vetted,2C,coal,Fossil,decommission_jobyears_thousands,63,63,6908.098138730613,5131.773692860339,-1776.3244458702738
SCI-vetted,2C,coal,Fossil,inferred_retirements_GW,63,63,3117.649774698913,2278.91441196,-838.735362738913
SCI-vetted,2C,coal,Fossil,plant_jobs_displaced_thousands,63,63,2607.5034384748874,2027.5905338942096,-579.9129045806778
SCI-vetted,2C,coal,Fossil,upstream_jobs_displaced_thousands,63,63,3114.033101956388,2332.415364834483,-781.6177371219046
SCI-vetted,2C,gas,Fossil,decommission_jobyears_thousands,63,63,3843.2852864203132,2326.507565453341,-1516.777720966972
SCI-vetted,2C,gas,Fossil,inferred_retirements_GW,63,63,6040.041209089756,3206.575891505466,-2833.46531758429
SCI-vetted,2C,gas,Fossil,plant_jobs_displaced_thousands,63,63,1917.9896040991384,1011.1137733286223,-906.8758307705161
SCI-vetted,2C,gas,Fossil,upstream_jobs_displaced_thousands,63,63,2.6187486346148106,0.9497350024240325,-1.669013632190778
SCI-vetted,2C,geothermal,Renewables,decommission_jobyears_thousands,42,27,330.07334143885913,145.13090589186623,-184.9424355469929
SCI-vetted,2C,geothermal,Renewables,inferred_retirements_GW,42,27,242.65785190678213,98.50848398000001,-144.14936792678213
SCI-vetted,2C,geothermal,Renewables,plant_jobs_displaced_thousands,42,27,273.1561410879939,121.85096942187258,-151.3051716661213
SCI-vetted,2C,geothermal,Renewables,upstream_jobs_displaced_thousands,42,27,0,0,0
SCI-vetted,2C,hydro,Renewables,decommission_jobyears_thousands,63,63,2083.170355757544,1404.8272652695746,-678.3430904879692
SCI-vetted,2C,hydro,Renewables,inferred_retirements_GW,63,63,2489.0881691634654,1492.2098500000004,-996.878319163465
SCI-vetted,2C,hydro,Renewables,plant_jobs_displaced_thousands,63,63,2069.08633849935,1391.8275928426108,-677.2587456567392
SCI-vetted,2C,hydro,Renewables,upstream_jobs_displaced_thousands,63,63,0,0,0
SCI-vetted,2C,nuclear,Nuclear,decommission_jobyears_thousands,63,63,3605.8671581196713,2837.573134719194,-768.2940234004773
SCI-vetted,2C,nuclear,Nuclear,inferred_retirements_GW,63,63,1158.7601691655811,829.8459495332419,-328.91421963233927
SCI-vetted,2C,nuclear,Nuclear,plant_jobs_displaced_thousands,63,63,1235.5622541899038,989.6451938807011,-245.91706030920272
SCI-vetted,2C,nuclear,Nuclear,upstream_jobs_displaced_thousands,63,63,24.228700770891656,14.157972735680785,-10.070728035210871
SCI-vetted,2C,oil,Fossil,decommission_jobyears_thousands,63,59,1157.483336820529,1932.5942395552272,775.1109027346981
SCI-vetted,2C,oil,Fossil,inferred_retirements_GW,63,59,460.00670352149757,788.6057459905197,328.59904246902215
SCI-vetted,2C,oil,Fossil,plant_jobs_displaced_thousands,63,59,132.3406829733276,187.86066562794605,55.519982654618445
SCI-vetted,2C,oil,Fossil,upstream_jobs_displaced_thousands,63,59,4.580725790785845,7.08441664056324,2.503690849777395
SCI-vetted,2C,solar_pv,Renewables,decommission_jobyears_thousands,63,63,16570.489300142213,20519.764008172162,3949.2747080299487
SCI-vetted,2C,solar_pv,Renewables,inferred_retirements_GW,63,63,26594.96918182373,29523.0083993059,2928.039217482172
SCI-vetted,2C,solar_pv,Renewables,plant_jobs_displaced_thousands,63,63,9780.345824179267,10570.846977942696,790.5011537634291
SCI-vetted,2C,solar_pv,Renewables,upstream_jobs_displaced_thousands,63,63,0,0,0
SCI-vetted,2C,wind_on,Renewables,decommission_jobyears_thousands,63,63,1183.5076589931218,2278.548217097937,1095.0405581048153
SCI-vetted,2C,wind_on,Renewables,inferred_retirements_GW,63,63,12380.3340508461,22007.026170880003,9626.692120033902
SCI-vetted,2C,wind_on,Renewables,plant_jobs_displaced_thousands,63,63,5159.792942484331,9124.64056649,3964.847624005668
SCI-vetted,2C,wind_on,Renewables,upstream_jobs_displaced_thousands,63,63,0,0,0
SCI-vetted,All ambitions pooled,biomass,Bioenergy,decommission_jobyears_thousands,69,69,2066.440452656735,985.0759088780673,-1081.3645437786677
SCI-vetted,All ambitions pooled,biomass,Bioenergy,inferred_retirements_GW,69,69,1315.5961843264754,648.6702800488961,-666.9259042775793
SCI-vetted,All ambitions pooled,biomass,Bioenergy,plant_jobs_displaced_thousands,69,69,4394.4982269868915,2190.593978442853,-2203.9042485440386
SCI-vetted,All ambitions pooled,biomass,Bioenergy,upstream_jobs_displaced_thousands,69,69,151.56843903148086,73.3807952756915,-78.18764375578937
SCI-vetted,All ambitions pooled,coal,Fossil,decommission_jobyears_thousands,69,69,6949.030517432945,5131.773692860339,-1817.256824572606
SCI-vetted,All ambitions pooled,coal,Fossil,inferred_retirements_GW,69,69,3178.2696791525927,2318.0439400000005,-860.2257391525923
SCI-vetted,All ambitions pooled,coal,Fossil,plant_jobs_displaced_thousands,69,69,2625.5598297836573,2048.6941391638284,-576.8656906198289
SCI-vetted,All ambitions pooled,coal,Fossil,upstream_jobs_displaced_thousands,69,69,3155.633823995172,2332.415364834483,-823.2184591606888
SCI-vetted,All ambitions pooled,gas,Fossil,decommission_jobyears_thousands,69,69,3895.5960959845866,2326.507565453341,-1569.0885305312454
SCI-vetted,All ambitions pooled,gas,Fossil,inferred_retirements_GW,69,69,6146.96203634739,3206.575891505466,-2940.3861448419234
SCI-vetted,All ambitions pooled,gas,Fossil,plant_jobs_displaced_thousands,69,69,1975.2077831244612,1011.1137733286223,-964.0940097958389
SCI-vetted,All ambitions pooled,gas,Fossil,upstream_jobs_displaced_thousands,69,69,2.6385245729323734,0.9497350024240325,-1.6887895705083409
SCI-vetted,All ambitions pooled,geothermal,Renewables,decommission_jobyears_thousands,44,32,329.5515426239972,147.1534681222147,-182.3980745017825
SCI-vetted,All ambitions pooled,geothermal,Renewables,inferred_retirements_GW,44,32,241.82508699184763,100.05907795,-141.7660090418476
SCI-vetted,All ambitions pooled,geothermal,Renewables,plant_jobs_displaced_thousands,44,32,272.9584588133015,123.38940707761934,-149.56905173568214
SCI-vetted,All ambitions pooled,geothermal,Renewables,upstream_jobs_displaced_thousands,44,32,0,0,0
SCI-vetted,All ambitions pooled,hydro,Renewables,decommission_jobyears_thousands,69,69,2076.907720279003,1324.0086254737694,-752.8990948052337
SCI-vetted,All ambitions pooled,hydro,Renewables,inferred_retirements_GW,69,69,2487.288633862138,1421.7427478556485,-1065.5458860064894
SCI-vetted,All ambitions pooled,hydro,Renewables,plant_jobs_displaced_thousands,69,69,2067.899008433467,1208.363455644052,-859.5355527894149
SCI-vetted,All ambitions pooled,hydro,Renewables,upstream_jobs_displaced_thousands,69,69,0,0,0
SCI-vetted,All ambitions pooled,nuclear,Nuclear,decommission_jobyears_thousands,69,69,3907.129139427022,2342.1090895483885,-1565.0200498786335
SCI-vetted,All ambitions pooled,nuclear,Nuclear,inferred_retirements_GW,69,69,1235.2666243307758,755.9476697986081,-479.3189545321677
SCI-vetted,All ambitions pooled,nuclear,Nuclear,plant_jobs_displaced_thousands,69,69,1313.416612461051,829.8894954522439,-483.5271170088072
SCI-vetted,All ambitions pooled,nuclear,Nuclear,upstream_jobs_displaced_thousands,69,69,24.228700770891656,13.7943557225405,-10.434345048351156
SCI-vetted,All ambitions pooled,oil,Fossil,decommission_jobyears_thousands,69,65,1158.4725151081068,1932.5942395552272,774.1217244471204
SCI-vetted,All ambitions pooled,oil,Fossil,inferred_retirements_GW,69,65,460.77701392732564,788.6057459905197,327.8287320631941
SCI-vetted,All ambitions pooled,oil,Fossil,plant_jobs_displaced_thousands,69,65,133.51461218848561,187.86066562794605,54.346053439460434
SCI-vetted,All ambitions pooled,oil,Fossil,upstream_jobs_displaced_thousands,69,65,4.605838392589091,7.08441664056324,2.4785782479741485
SCI-vetted,All ambitions pooled,solar_pv,Renewables,decommission_jobyears_thousands,69,69,16570.489300142213,21082.2825258893,4511.793225747086
SCI-vetted,All ambitions pooled,solar_pv,Renewables,inferred_retirements_GW,69,69,26594.96918182373,29849.589036066915,3254.619854243185
SCI-vetted,All ambitions pooled,solar_pv,Renewables,plant_jobs_displaced_thousands,69,69,9784.89616850567,11235.708818539997,1450.8126500343278
SCI-vetted,All ambitions pooled,solar_pv,Renewables,upstream_jobs_displaced_thousands,69,69,0,0,0
SCI-vetted,All ambitions pooled,wind_on,Renewables,decommission_jobyears_thousands,69,69,1189.4475423877598,2183.814887890903,994.367345503143
SCI-vetted,All ambitions pooled,wind_on,Renewables,inferred_retirements_GW,69,69,12491.281022787094,20414.258306700973,7922.977283913879
SCI-vetted,All ambitions pooled,wind_on,Renewables,plant_jobs_displaced_thousands,69,69,5160.881226279593,8412.009221854749,3251.127995575156
SCI-vetted,All ambitions pooled,wind_on,Renewables,upstream_jobs_displaced_thousands,69,69,0,0,0
