database,ambition_view,Region,model_family,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,1.5C,R10AFRICA,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",4,1,451.47707153590625,398.1616693555493,TRUE,FALSE,-53.315402180356955,High-CMT
Full,1.5C,R10AFRICA,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",4,1,454.15652326007887,398.3545630650825,TRUE,FALSE,-55.801960194996354,High-CMT
Full,1.5C,R10AFRICA,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",1,59,1.5718062679862652,4.581011636407215,TRUE,FALSE,3.00920536842095,High-RE
Full,1.5C,R10AFRICA,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",1,59,1.637652019563249,5.385592416717345,TRUE,FALSE,3.747940397154096,High-RE
Full,1.5C,R10AFRICA,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",1,59,0.013617448053206154,0.010974213775262398,TRUE,FALSE,-0.002643234277943756,High-CMT
Full,1.5C,R10AFRICA,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,1,59,4005.8443237700017,12121.801180000008,TRUE,FALSE,8115.956856230006,High-RE
Full,1.5C,R10AFRICA,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",1,59,485.1675157542864,1052.1761862195258,TRUE,FALSE,567.0086704652394,High-RE
Full,1.5C,R10AFRICA,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",1,59,495.2983587937744,1056.1322851984162,TRUE,FALSE,560.8339264046417,High-RE
Full,1.5C,R10AFRICA,REMIND,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",1,59,496.87016506176064,1061.5729383635187,TRUE,FALSE,564.702773301758,High-RE
Full,1.5C,R10AFRICA,WITCH,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",6,0,2.07532207925356,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,WITCH,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",6,0,2.174355640148142,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,WITCH,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",6,0,0.079802180112384,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,WITCH,inferred_retirements_GW,Inferred retired capacity,GW,6,0,4821.857261563277,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,WITCH,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",6,0,191.33941984366624,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,WITCH,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",6,0,224.9646016674305,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,WITCH,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",6,0,227.03992374668402,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",1,3,10.902167251828052,2.4020919281859774,TRUE,FALSE,-8.500075323642076,High-CMT
Full,1.5C,R10CHINA+,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",1,3,11.798169207825124,1.5117548488783938,TRUE,FALSE,-10.28641435894673,High-CMT
Full,1.5C,R10CHINA+,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",1,3,1.187364221323694,0.9486002469368525,TRUE,FALSE,-0.23876397438684138,High-CMT
Full,1.5C,R10CHINA+,AIM,inferred_retirements_GW,Inferred retired capacity,GW,1,3,30647.5235,2262.7635,TRUE,FALSE,-28384.76,High-CMT
Full,1.5C,R10CHINA+,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",1,3,400.8437634996819,173.24662913415025,TRUE,FALSE,-227.59713436553167,High-CMT
Full,1.5C,R10CHINA+,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",1,3,736.1565231425259,516.886426921848,TRUE,FALSE,-219.27009622067783,High-CMT
Full,1.5C,R10CHINA+,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",1,3,747.0586903943539,519.0304797794015,TRUE,FALSE,-228.0282106149524,High-CMT
Full,1.5C,R10CHINA+,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,1,NA,7.849050071275895,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,1,NA,5.071012818733348,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,1,NA,0.8873308373261687,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,0,1,NA,19021.124341949624,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,1,NA,311.5141732076644,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,1,NA,381.68289181153995,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",0,1,NA,389.53194188281583,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",21,0,7.117554062389794,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",21,0,5.466130580275508,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",21,0,1.0111865085581178,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,21,0,15292.716752047592,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",21,0,186.73214303719777,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",21,0,344.1379359353281,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",21,0,351.25548999771786,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10CHINA+,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",25,3,2.2284682135622993,5.874295482119742,TRUE,TRUE,3.645827268557443,High-RE
Full,1.5C,R10CHINA+,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",25,3,1.342387994489896,5.639879861883,TRUE,TRUE,4.297491867393104,High-RE
Full,1.5C,R10CHINA+,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",25,3,0.6865188367274506,0.6220887163212615,TRUE,TRUE,-0.06443012040618912,High-CMT
Full,1.5C,R10CHINA+,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,25,3,2555.609520535727,16646.134562897252,TRUE,TRUE,14090.525042361525,High-RE
Full,1.5C,R10CHINA+,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",25,3,170.81155863909532,369.662262101476,TRUE,TRUE,198.8507034623807,High-RE
Full,1.5C,R10CHINA+,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",25,3,237.41925347192364,443.90657209537846,TRUE,TRUE,206.48731862345483,High-RE
Full,1.5C,R10CHINA+,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",25,3,239.8147983014547,449.7109727788984,TRUE,TRUE,209.8961744774437,High-RE
Full,1.5C,R10CHINA+,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",4,1,7.008020081229907,4.474686670878222,TRUE,FALSE,-2.533333410351686,High-CMT
Full,1.5C,R10CHINA+,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",4,1,5.730634929459742,3.410261168063992,TRUE,FALSE,-2.3203737613957505,High-CMT
Full,1.5C,R10CHINA+,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",4,1,0.9963597068853607,0.9021475014461702,TRUE,FALSE,-0.09421220543919051,High-CMT
Full,1.5C,R10CHINA+,POLES,inferred_retirements_GW,Inferred retired capacity,GW,4,1,14058.50957348247,7750.5125291368395,TRUE,FALSE,-6307.9970443456305,High-CMT
Full,1.5C,R10CHINA+,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",4,1,194.6504841682489,263.4235142147354,TRUE,FALSE,68.7730300464865,High-RE
Full,1.5C,R10CHINA+,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",4,1,408.0016934451886,564.2214600477757,TRUE,FALSE,156.21976660258713,High-RE
Full,1.5C,R10CHINA+,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",4,1,415.00971352641847,568.696146718654,TRUE,FALSE,153.68643319223548,High-RE
