Model,Scenario,Region,Category,jobs_Bioenergy,jobs_Fossil,jobs_Nuclear,jobs_Renewables,jobs_Decommission,gross_plant_jobs_displaced,gross_upstream_jobs_displaced,inferred_retirements_GW,absolute_balance_residual_GW,unexplained_additions_GW,jobs_EnergyTotal_no_decommission,jobs_EnergyTotal,jobs_RE_minus_fossil
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10AFRICA,C1,2060.0281703,2109.154059298403,306.8340292,202788.8718610627,168.31026513134,41.85356826286631,15.004234010551002,166.55270000000004,0,0,207264.8881198611,207433.19838499246,200679.71780176432
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10CHINA+,C1,69318.526249966,225522.89792379073,9388.602850070001,433899.501646,3061.772650161685,1818.9463317732432,1354.6299858120422,1443.8945999999999,0,0,738129.5286698267,741191.3013199883,208376.6037222093
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10EUROPE,C1,64706.51052864,13940.237353196837,9067.622601358391,61863.38127214208,461.41309819733897,155.32051364176942,203.36739947681232,471.6087999999997,0,0,149577.75175533732,150039.16485353466,47923.14391894525
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10INDIA+,C1,20473.035066365,18863.310601748413,5088.394033,618436.94112764,583.7252248956437,192.55709607010792,177.33483435634838,307.2807,0,0,662861.6808287534,663445.406053649,599573.6305258916
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10LATIN_AM,C1,71648.355636632,5767.871517705632,1304.1111083983317,84615.58054708406,475.8115348435047,121.2415108748418,38.026537481671085,222.5670999999999,0,0,163335.91880982002,163811.73034466352,78847.70902937843
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10MIDDLE_EAST,C1,15911.165129496001,11102.922552180415,45.01745092647236,224124.5895793914,373.41794136465063,212.1895338248856,4.253451668793235,370.7007,0,0,251183.6947119943,251557.11265335896,213021.667027211
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10NORTH_AM,C1,61475.91040047,7842.344773752943,21277.25883821119,61916.01541537359,513.0801304387498,110.32270237256894,19.8370245429186,704.0287,0,0,152511.52942780772,153024.60955824648,54073.67064162065
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10PAC_OECD,C1,3802.5237321400004,4359.345636037209,2314.909479574587,27007.14903198729,199.16109200932655,40.2572690792255,55.0260597506289,208.2528,0,0,37483.92787973909,37683.08897174842,22647.803395950083
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10REF_ECON,C1,105672.16307231999,64349.06531049582,55723.038108686706,299165.24075518316,1970.191049895676,513.6022029657549,501.61497695786204,513.7479999999999,0,0,524909.5072466857,526879.6982965814,234816.17544468734
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,R10REST_ASIA,C1,53208.47305904,23358.06381540518,36076.94834857336,253210.57234190588,763.9408734367329,108.08072879399846,282.318892455843,277.23269999999997,0,0,365854.0575649244,366617.99843836116,229852.5085265007
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10AFRICA,C3,1322.15210268,2305.0433504097373,298.7163001,136257.6951292462,174.43716788979452,39.5933794621701,15.397944108477,162.1943,0,0,140183.60688243594,140358.04405032573,133952.65177883644
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10CHINA+,C3,55089.92851021,210565.56503667223,7332.35553565,379621.4559458,4035.5024568775816,2508.494321333096,1440.7680628699118,2919.8927,0,0,652609.3050283322,656644.8074852098,169055.89090912777
