ambition_view,family,project,component,n_High-CDR,n_High-RE,median_High-CDR,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cdr,favours
1.5C,REMIND,NAVIGATE,jobs_Renewables,1,0,340.4009102521878,0,FALSE,FALSE,-340.4009102521878,NA
1.5C,REMIND,NGFS Phase 5,jobs_Bioenergy,0,1,0,2.646424064054884,FALSE,FALSE,2.646424064054884,NA
1.5C,REMIND,NGFS Phase 5,jobs_Decommission,0,1,0,5.78011227458057,FALSE,FALSE,5.78011227458057,NA
1.5C,REMIND,NGFS Phase 5,jobs_EnergyTotal,0,1,0,557.7723386894081,FALSE,FALSE,557.7723386894081,NA
1.5C,REMIND,NGFS Phase 5,jobs_Fossil,0,1,0,8.689110333465397,FALSE,FALSE,8.689110333465397,NA
1.5C,REMIND,NGFS Phase 5,jobs_Nuclear,0,1,0,5.616975963792319,FALSE,FALSE,5.616975963792319,NA
1.5C,REMIND,NGFS Phase 5,jobs_Renewables,0,1,0,535.0397160535149,FALSE,FALSE,535.0397160535149,NA
1.5C,REMIND,PEP,jobs_Bioenergy,0,13,0,6.877013176883927,FALSE,FALSE,6.877013176883927,NA
1.5C,REMIND,PEP,jobs_Decommission,0,13,0,8.502390156351899,FALSE,FALSE,8.502390156351899,NA
1.5C,REMIND,PEP,jobs_EnergyTotal,0,13,0,803.5691107558773,FALSE,FALSE,803.5691107558773,NA
1.5C,REMIND,PEP,jobs_Fossil,0,13,0,9.724749108809371,FALSE,FALSE,9.724749108809371,NA
1.5C,REMIND,PEP,jobs_Nuclear,0,13,0,17.393247172346538,FALSE,FALSE,17.393247172346538,NA
1.5C,REMIND,PEP,jobs_Renewables,0,13,0,747.025137891799,FALSE,FALSE,747.025137891799,NA
1.5C,REMIND,R2p1,jobs_Bioenergy,0,2,0,13.004497137813624,FALSE,FALSE,13.004497137813624,NA
1.5C,REMIND,R2p1,jobs_Decommission,0,2,0,7.1833851250677885,FALSE,FALSE,7.1833851250677885,NA
1.5C,REMIND,R2p1,jobs_EnergyTotal,0,2,0,757.322860540341,FALSE,FALSE,757.322860540341,NA
1.5C,REMIND,R2p1,jobs_Fossil,0,2,0,19.438370678865667,FALSE,FALSE,19.438370678865667,NA
1.5C,REMIND,R2p1,jobs_Nuclear,0,2,0,19.151220652635686,FALSE,FALSE,19.151220652635686,NA
1.5C,REMIND,R2p1,jobs_Renewables,0,2,0,698.5453869459582,FALSE,FALSE,698.5453869459582,NA
1.5C,REMIND,RESCUE,jobs_Bioenergy,0,3,0,3.430071342490664,FALSE,FALSE,3.430071342490664,NA
1.5C,REMIND,RESCUE,jobs_Decommission,0,3,0,6.024081506052649,FALSE,FALSE,6.024081506052649,NA
1.5C,REMIND,RESCUE,jobs_EnergyTotal,0,3,0,712.2752291017148,FALSE,FALSE,712.2752291017148,NA
1.5C,REMIND,RESCUE,jobs_Fossil,0,3,0,18.109874205442114,FALSE,FALSE,18.109874205442114,NA
1.5C,REMIND,RESCUE,jobs_Nuclear,0,3,0,3.8692444179889374,FALSE,FALSE,3.8692444179889374,NA
1.5C,REMIND,RESCUE,jobs_Renewables,0,3,0,680.9220347648286,FALSE,FALSE,680.9220347648286,NA
1.5C,REMIND,SusDev,jobs_Bioenergy,0,2,0,9.16444727199444,FALSE,FALSE,9.16444727199444,NA
1.5C,REMIND,SusDev,jobs_Decommission,0,2,0,6.240307059428906,FALSE,FALSE,6.240307059428906,NA
1.5C,REMIND,SusDev,jobs_EnergyTotal,0,2,0,610.6272212421248,FALSE,FALSE,610.6272212421248,NA
1.5C,REMIND,SusDev,jobs_Fossil,0,2,0,10.234930565579102,FALSE,FALSE,10.234930565579102,NA
1.5C,REMIND,SusDev,jobs_Nuclear,0,2,0,5.108748763605497,FALSE,FALSE,5.108748763605497,NA
1.5C,REMIND,SusDev,jobs_Renewables,0,2,0,579.8787875815168,FALSE,FALSE,579.8787875815168,NA
1.5C,WITCH,ENGAGE,jobs_Bioenergy,6,0,63.24019082639561,0,FALSE,FALSE,-63.24019082639561,NA
1.5C,WITCH,ENGAGE,jobs_Decommission,6,0,6.398678740891887,0,FALSE,FALSE,-6.398678740891887,NA
1.5C,WITCH,ENGAGE,jobs_EnergyTotal,6,0,443.8990093973391,0,FALSE,FALSE,-443.8990093973391,NA
1.5C,WITCH,ENGAGE,jobs_Fossil,6,0,20.584959707720174,0,FALSE,FALSE,-20.584959707720174,NA
1.5C,WITCH,ENGAGE,jobs_Nuclear,6,0,13.69307661637949,0,FALSE,FALSE,-13.69307661637949,NA
1.5C,WITCH,ENGAGE,jobs_Renewables,6,0,337.6968429579849,0,FALSE,FALSE,-337.6968429579849,NA
2C,AIM,ENGAGE,jobs_Bioenergy,20,11,51.07598354992975,55.68491528776294,TRUE,TRUE,4.608931737833188,High-RE
2C,AIM,ENGAGE,jobs_Decommission,20,11,7.480512001862544,1.4878880977876152,TRUE,TRUE,-5.992623904074929,High-CDR
2C,AIM,ENGAGE,jobs_EnergyTotal,20,11,462.0937709466265,437.088864357465,TRUE,TRUE,-25.004906589161465,High-CDR
2C,AIM,ENGAGE,jobs_Fossil,20,11,59.56373796414488,49.351405334940424,TRUE,TRUE,-10.212332629204454,High-CDR
2C,AIM,ENGAGE,jobs_Nuclear,20,11,31.90137723531702,19.916528222868116,TRUE,TRUE,-11.984849012448905,High-CDR
2C,AIM,ENGAGE,jobs_Renewables,20,11,311.1958552612952,339.0821515608115,TRUE,TRUE,27.88629629951629,High-RE
2C,COFFEE,ENGAGE,jobs_Bioenergy,0,8,0,5.852626894560336,FALSE,FALSE,5.852626894560336,NA
2C,COFFEE,ENGAGE,jobs_Decommission,0,8,0,1.0898987621398621,FALSE,FALSE,1.0898987621398621,NA
2C,COFFEE,ENGAGE,jobs_EnergyTotal,0,8,0,209.7117364026971,FALSE,FALSE,209.7117364026971,NA
2C,COFFEE,ENGAGE,jobs_Fossil,0,8,0,11.085078071405409,FALSE,FALSE,11.085078071405409,NA
2C,COFFEE,ENGAGE,jobs_Nuclear,0,8,0,14.505293866884951,FALSE,FALSE,14.505293866884951,NA
2C,COFFEE,ENGAGE,jobs_Renewables,0,8,0,177.32122863533934,FALSE,FALSE,177.32122863533934,NA
2C,GCAM,IAM,jobs_Bioenergy,3,0,29.189441906960326,0,FALSE,FALSE,-29.189441906960326,NA
2C,GCAM,IAM,jobs_Decommission,3,0,8.09262326832654,0,FALSE,FALSE,-8.09262326832654,NA
2C,GCAM,IAM,jobs_EnergyTotal,3,0,339.3833470088495,0,FALSE,FALSE,-339.3833470088495,NA
2C,GCAM,IAM,jobs_Fossil,3,0,44.30029292175957,0,FALSE,FALSE,-44.30029292175957,NA
2C,GCAM,IAM,jobs_Nuclear,3,0,26.023389769626146,0,FALSE,FALSE,-26.023389769626146,NA
2C,GCAM,IAM,jobs_Renewables,3,0,231.777599142177,0,FALSE,FALSE,-231.777599142177,NA
2C,GCAM,NGFS Phase 5,jobs_Bioenergy,0,4,0,18.662812078845064,FALSE,FALSE,18.662812078845064,NA
2C,GCAM,NGFS Phase 5,jobs_Decommission,0,4,0,8.925546525576097,FALSE,FALSE,8.925546525576097,NA
2C,GCAM,NGFS Phase 5,jobs_EnergyTotal,0,4,0,554.6597400979427,FALSE,FALSE,554.6597400979427,NA
2C,GCAM,NGFS Phase 5,jobs_Fossil,0,4,0,21.991174241749892,FALSE,FALSE,21.991174241749892,NA
2C,GCAM,NGFS Phase 5,jobs_Nuclear,0,4,0,7.888375490266234,FALSE,FALSE,7.888375490266234,NA
2C,GCAM,NGFS Phase 5,jobs_Renewables,0,4,0,497.0199818901475,FALSE,FALSE,497.0199818901475,NA
2C,IMAGE,COMMIT,jobs_Bioenergy,0,0,NA,0,FALSE,FALSE,NA,NA
2C,IMAGE,COMMIT,jobs_Decommission,0,0,NA,0,FALSE,FALSE,NA,NA
2C,IMAGE,COMMIT,jobs_EnergyTotal,0,0,NA,0,FALSE,FALSE,NA,NA
2C,IMAGE,COMMIT,jobs_Fossil,0,0,NA,0,FALSE,FALSE,NA,NA
2C,IMAGE,COMMIT,jobs_Nuclear,0,0,NA,0,FALSE,FALSE,NA,NA
2C,IMAGE,COMMIT,jobs_Renewables,0,0,NA,0,FALSE,FALSE,NA,NA
2C,IMAGE,ENGAGE,jobs_Bioenergy,29,0,55.70798143024975,0,FALSE,FALSE,-55.70798143024975,NA
2C,IMAGE,ENGAGE,jobs_Decommission,29,0,3.0273541168156983,0,FALSE,FALSE,-3.0273541168156983,NA
2C,IMAGE,ENGAGE,jobs_EnergyTotal,29,0,245.57143147466002,0,FALSE,FALSE,-245.57143147466002,NA
2C,IMAGE,ENGAGE,jobs_Fossil,29,0,54.43285266828975,0,FALSE,FALSE,-54.43285266828975,NA
2C,IMAGE,ENGAGE,jobs_Nuclear,29,0,12.690557196803312,0,FALSE,FALSE,-12.690557196803312,NA
2C,IMAGE,ENGAGE,jobs_Renewables,29,0,114.62240436896438,0,FALSE,FALSE,-114.62240436896438,NA
2C,IMAGE,NAVIGATE,jobs_Bioenergy,8,0,17.62100322751845,0,FALSE,FALSE,-17.62100322751845,NA
2C,IMAGE,NAVIGATE,jobs_Decommission,8,0,4.961675377507815,0,FALSE,FALSE,-4.961675377507815,NA
2C,IMAGE,NAVIGATE,jobs_EnergyTotal,8,0,313.5018176276719,0,FALSE,FALSE,-313.5018176276719,NA
2C,IMAGE,NAVIGATE,jobs_Fossil,8,0,28.00264316292489,0,FALSE,FALSE,-28.00264316292489,NA
2C,IMAGE,NAVIGATE,jobs_Nuclear,8,0,26.278280992789263,0,FALSE,FALSE,-26.278280992789263,NA
2C,IMAGE,NAVIGATE,jobs_Renewables,8,0,243.56378060971616,0,FALSE,FALSE,-243.56378060971616,NA
2C,IMAGE,SSP2021,jobs_Bioenergy,8,2,40.76313971110873,16.103681692553643,TRUE,FALSE,-24.659458018555085,High-CDR
2C,IMAGE,SSP2021,jobs_Decommission,8,2,4.705592870885317,8.44850489871225,TRUE,FALSE,3.7429120278269323,High-RE
2C,IMAGE,SSP2021,jobs_EnergyTotal,8,2,302.0186750995276,530.7782904129981,TRUE,FALSE,228.75961531347048,High-RE
2C,IMAGE,SSP2021,jobs_Fossil,8,2,62.85570901145075,84.20586259968624,TRUE,FALSE,21.350153588235493,High-RE
2C,IMAGE,SSP2021,jobs_Nuclear,8,2,17.683354423693288,4.245387891342361,TRUE,FALSE,-13.437966532350927,High-CDR
2C,IMAGE,SSP2021,jobs_Renewables,8,2,187.97846896173732,417.77485333070354,TRUE,FALSE,229.79638436896622,High-RE
