"model","scenario","Category","r10_region","year","deaths_pm25","deaths_o3","deaths_total"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2040,81377,0,81377
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2050,79068,0,79068
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2060,78912,0,78912
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2070,80003,0,80003
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2080,78507,0,78507
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2090,75408,0,75408
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2100,72352,0,72352
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2010,274986,0,274986
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2020,211245,0,211245
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2030,193203,0,193203
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2040,157305,0,157305
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2050,166995,0,166995
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2060,182390,0,182390
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2070,204431,0,204431
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2080,223949,0,223949
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2090,239699,0,239699
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REF_ECON",2100,262123,0,262123
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2010,607404,0,607404
