"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NoPolicy","C4",202606.002528601,864355.101415217,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-2.0°C-act_u","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-2.0°C-all_u","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-2.0°C-ele_u","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-2.0°C-ref","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-2.0°C-tec_u","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-NPi-act","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-NPi-all","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-NPi-ele","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-NPi-ref","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1-BMT-R12","NAVIGATE Demand-NPi-tec","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.2","COVID-Shift-GreenPush_max_GDP","C4",202908.431453328,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.2","COVID-Shift-NoPolicyNoCOVID","C4",202959.844401904,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.2","COVID-Shift-Restore","C4",202894.293784657,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.2","COVID-Shift-SelfReliance","C4",202887.267513555,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.2","COVID-Shift-SelfReliance_max_GDP","C4",203365.456613794,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.2","COVID-Shift-SmartUse","C4",202897.199399005,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Below 2°C","C3",423488.201463648,2334785.6207637,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Current Policies","C4",252415.876831531,951108.066945368,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Delayed Transition","C3",414399.908830517,2295918.9718558,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Fragmented World","C3",368070.473685989,1692207.08869248,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Low Demand","C2",418980.134731315,1140434.79808875,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Nationally Determined Contributions (NDCs)","C4",420369.60136471,1826000.22981704,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","NGFS Phase 5-Net-Zero 2050","C2",462202.175309756,2587162.14489646,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"POLES GECO2019","COMMIT-2°C-2020","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-2°C-2030","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-Baseline","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-Bridge","C2",0,NA,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-Bridge-No-Tax","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-Current-Policies","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-GPP","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-GPP-No-Tax","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-NDC-2050-Convergence","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES GECO2019","COMMIT-NDCplus","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"POLES-JRC ENGAGE","ENGAGE-INDCi2030-1000","C4",844234.403049385,1688023.07071173,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"POLES-JRC ENGAGE","ENGAGE-INDCi2030-1000-COV","C4",764763.917642214,1505380.23867675,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"POLES-JRC ENGAGE","ENGAGE-INDCi2030-1000-COV-NDCp","C4",758112.106817152,1507576.59573003,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
