family,Model,Scenario,project,amb,classification_state,cdr_all,cdr_cutoff,cdr_ratio_to_cutoff,cdr_percentile,renewables,re_cutoff,re_ratio_to_cutoff,re_percentile
REMIND,REMIND 2.1,R2p1-SSP2-1300,R2p1,2C,High-RE,139288.0834,550795.0699210565,0.2528854940912301,0.232,3544145.93785,1914001.2595672116,1.8516946737283715,0.9257142857142857
REMIND,REMIND 2.1,R2p1-SSP2-Baseline,R2p1,2C,High-RE,0,550795.0699210565,0,0,2179235.47675,1914001.2595672116,1.1385757798522882,0.7874285714285715
REMIND,REMIND 2.1,R2p1-SSP2-NDC,R2p1,2C,High-RE,171055.5994,550795.0699210565,0.3105612390911865,0.272,3080034.2624,1914001.2595672116,1.609212244247137,0.8697142857142857
REMIND,REMIND 2.1,R2p1-SSP2-NPi,R2p1,2C,High-RE,1336.1571000000001,550795.0699210565,0.002425869752595111,0.056,2292005.33505,1914001.2595672116,1.1974941623435824,0.8011428571428572
REMIND,REMIND 2.1,R2p1-SSP5-1300,R2p1,2C,High-RE,344013.34755,550795.0699210565,0.6245759381965895,0.4377142857142857,4004876.7384,1914001.2595672116,2.0924107120522852,0.9668571428571429
REMIND,REMIND 2.1,R2p1-SSP5-NDC,R2p1,2C,High-RE,481871.716,550795.0699210565,0.8748657028993831,0.5977142857142858,2764356.51225,1914001.2595672116,1.4442814488403568,0.8422857142857143
REMIND,REMIND 2.1,R2p1-SSP1-Baseline,R2p1,2C,Low both - excluded,0,550795.0699210565,0,0,1401060.5588,1914001.2595672116,0.7320060798271385,0.31314285714285717
REMIND,REMIND 2.1,R2p1-SSP1-NPi,R2p1,2C,Low both - excluded,94.8535,550795.0699210565,1.722119626335708e-4,0.036571428571428574,1521475.7529499999,1914001.2595672116,0.7949188880335594,0.38171428571428573
REMIND,REMIND 2.1,R2p1-SSP5-Baseline,R2p1,2C,Low both - excluded,0,550795.0699210565,0,0,1405322.30975,1914001.2595672116,0.7342326985029087,0.31657142857142856
REMIND,REMIND 2.1,R2p1-SSP5-NPi,R2p1,2C,Low both - excluded,4366.94345,550795.0699210565,0.00792843598005679,0.061714285714285715,1632528.34015,1914001.2595672116,0.8529400552845732,0.4582857142857143
REMIND,REMIND 2.1,TechCost-SSP2-1100-bioH,TechCost,2C,High-RE,149160.00460000001,550795.0699210565,0.2708085325116991,0.2502857142857143,3957348.46335,1914001.2595672116,2.0675788187541864,0.9565714285714285
REMIND,REMIND 2.1,TechCost-SSP2-1100-ccsH,TechCost,2C,High-RE,259032.45475,550795.0699210565,0.47028825945578306,0.3668571428571429,3748868.4753,1914001.2595672116,1.9586551767200422,0.9371428571428572
REMIND,REMIND 2.1,TechCost-SSP2-1100-coalH,TechCost,2C,High-RE,157208.36375,550795.0699210565,0.2854207895733927,0.264,4046472.0944499997,1914001.2595672116,2.1141428586964337,0.9748571428571429
