Model,Scenario,Category,Ambition,fossil_ccs,renewables,novel_cdr,engineered_cmt,cmt_high,re_high,high_cmt,high_re,Pathway,cmt_axis,portfolio_rule,approach
AIM/CGE V2.2,ENGAGE-NPi2020-800f,C3,2C (Medium-Ambition),705989.5249000001,1842360.7828000002,0,705989.5249000001,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-900,C3,2C (Medium-Ambition),585453.6601,1913290.9329000001,0,585453.6601,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-900f,C3,2C (Medium-Ambition),711060.1855,1799634.1672,0,711060.1855,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
CGEM-ESM 1.0,China-2060-SSP2-2<U+00B0>C,C3,2C (Medium-Ambition),0,0,219206.40104525044,219206.40104525044,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-2<U+00B0>C-2020,C4,2C (Medium-Ambition),411803.242699,1800608.631889485,0,411803.242699,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-2<U+00B0>C-2030,C4,2C (Medium-Ambition),401054.3100395,1777772.45173701,0,401054.3100395,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-Baseline,C4,2C (Medium-Ambition),0,1208863.185861113,0,0,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-Bridge,C3,2C (Medium-Ambition),418127.4806375,1748085.103141505,0,418127.4806375,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-Current-Policies,C4,2C (Medium-Ambition),0,692217.262327375,0,0,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-GPP,C3,2C (Medium-Ambition),143232.0907715,1180724.7187111,0,143232.0907715,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,COMMIT-NDCplus,C4,2C (Medium-Ambition),0,803312.04720296,0,0,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1000,C4,2C (Medium-Ambition),151133.24180741675,1584284.633430315,0,151133.24180741675,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1000-COV-NDCp,C4,2C (Medium-Ambition),272397.6638815,1484115.277263945,0,272397.6638815,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1000-NDCp,C4,2C (Medium-Ambition),290046.169929,1672230.325635608,0,290046.169929,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1000f,C3,2C (Medium-Ambition),237203.3064402421,1525754.3994596105,0,237203.3064402421,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1000f-COV-NDCp,C4,2C (Medium-Ambition),329275.779716,1437620.415140127,0,329275.779716,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1000f-NDCp,C4,2C (Medium-Ambition),364234.2518485,1578102.68653606,0,364234.2518485,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1200,C4,2C (Medium-Ambition),269425.024805455,1436260.9304410545,0,269425.024805455,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1200f,C3,2C (Medium-Ambition),201163.69879058446,1415919.73866737,0,201163.69879058446,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1400,C3,2C (Medium-Ambition),134385.5779129706,1292644.3765729151,0,134385.5779129706,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1400f,C3,2C (Medium-Ambition),166986.09897771254,1344709.69575156,0,166986.09897771254,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1600,C3,2C (Medium-Ambition),113669.13857636706,1206789.083242335,0,113669.13857636706,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1600f,C3,2C (Medium-Ambition),134489.88780869485,1247018.579128785,0,134489.88780869485,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1800,C3,2C (Medium-Ambition),94296.54018769944,1100261.27319852,0,94296.54018769944,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-1800f,C3,2C (Medium-Ambition),114741.53070888355,1169665.776140285,0,114741.53070888355,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-2000,C3,2C (Medium-Ambition),82292.3590077525,1045263.4836386566,0,82292.3590077525,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-2000f,C3,2C (Medium-Ambition),92985.66723272225,1076971.06454071,0,92985.66723272225,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-2500,C4,2C (Medium-Ambition),39197.56348248575,899635.909959535,0,39197.56348248575,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-2500f,C4,2C (Medium-Ambition),39197.56348248575,899635.909959535,0,39197.56348248575,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-400f,C2,1.5C (High-Ambition),281095.87055732723,1905176.26229361,0,281095.87055732723,403983.6134199853,2704533.9788519694,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-500,C3,2C (Medium-Ambition),169453.7144429523,2194875.0732935253,0,169453.7144429523,335872.01218836295,1914001.2595672116,FALSE,TRUE,High-RE,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-500f,C2,1.5C (High-Ambition),283037.3698002435,1863242.514480628,0,283037.3698002435,403983.6134199853,2704533.9788519694,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-600,C3,2C (Medium-Ambition),158753.96974262525,2064936.371296872,0,158753.96974262525,335872.01218836295,1914001.2595672116,FALSE,TRUE,High-RE,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-600-COV-NDCp,C3,2C (Medium-Ambition),282503.1965135,1878395.44623946,0,282503.1965135,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-600-NDCp,C3,2C (Medium-Ambition),294250.974081,2088063.74304085,0,294250.974081,335872.01218836295,1914001.2595672116,FALSE,TRUE,High-RE,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-600f,C4,2C (Medium-Ambition),275109.44355260686,1789482.9501770318,0,275109.44355260686,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-600f-COV-NDCp,C4,2C (Medium-Ambition),387525.355443,1697601.516881935,0,387525.355443,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-600f-NDCp,C4,2C (Medium-Ambition),410258.8323745,1861956.893089233,0,410258.8323745,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-700,C3,2C (Medium-Ambition),173074.5005279179,1933307.6762739897,0,173074.5005279179,335872.01218836295,1914001.2595672116,FALSE,TRUE,High-RE,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-700f,C4,2C (Medium-Ambition),266116.5708993465,1720655.7596954785,0,266116.5708993465,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-800,C3,2C (Medium-Ambition),151133.24180741675,1799492.908612962,0,151133.24180741675,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-800f,C4,2C (Medium-Ambition),257139.08360196766,1656449.0591773735,0,257139.08360196766,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-900,C3,2C (Medium-Ambition),303535.09780338,1658585.0797313736,0,303535.09780338,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2030-900f,C4,2C (Medium-Ambition),250520.83673836954,1596477.824416857,0,250520.83673836954,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2100,C4,2C (Medium-Ambition),0,767492.088694195,0,0,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2100-COV-NDCp,C4,2C (Medium-Ambition),0,785238.0618095475,0,0,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-INDCi2100-NDCp,C4,2C (Medium-Ambition),0,837712.6219247,0,0,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-NPi2020-1000,C4,2C (Medium-Ambition),157877.6458044945,1608351.958244947,0,157877.6458044945,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-NPi2020-1000-COV,C4,2C (Medium-Ambition),267374.450373,1422048.071612249,0,267374.450373,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
COFFEE 1.1,ENGAGE-NPi2020-1000f,C3,2C (Medium-Ambition),257841.99016471943,1553072.822082568,0,257841.99016471943,335872.01218836295,1914001.2595672116,FALSE,FALSE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
