approach,Region,Ambition,outcome,n_cmt,n_re,median_cmt,median_re,re_minus_cmt
C,R10LATIN_AM,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,170.404616320625,276.432725094885,106.02810877425998
C,R10MIDDLE_EAST,1.5C (High-Ambition),gap_GJ_pc,7,7,1.11309300057871,1.18031542749116,0.06722242691244995
C,R10MIDDLE_EAST,1.5C (High-Ambition),headcount_pct,7,7,0.651515884126021,0.622295228563963,-0.029220655562057996
C,R10MIDDLE_EAST,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,178.957485975461,1004.17244018695,825.2149542114889
C,R10MIDDLE_EAST,2C (Medium-Ambition),gap_GJ_pc,63,63,0.758279941728957,2.51077893894881,1.752498997219853
C,R10MIDDLE_EAST,2C (Medium-Ambition),headcount_pct,63,63,0.39279894273845,1.00884600702632,0.6160470642878701
C,R10MIDDLE_EAST,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,125.169032084174,504.255642928421,379.08661084424705
C,R10NORTH_AM,1.5C (High-Ambition),gap_GJ_pc,7,7,25.2773306587082,13.2615204307017,-12.0158102280065
C,R10NORTH_AM,1.5C (High-Ambition),headcount_pct,7,7,6.3290320632834,3.52518354508019,-2.8038485182032096
C,R10NORTH_AM,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,152.921272542271,241.526132467726,88.604859925455
C,R10NORTH_AM,2C (Medium-Ambition),gap_GJ_pc,63,63,18.3709047584503,6.43628160273126,-11.934623155719041
C,R10NORTH_AM,2C (Medium-Ambition),headcount_pct,63,63,4.78783337822107,1.34934482198619,-3.4384885562348795
C,R10NORTH_AM,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,101.324951683881,245.240545118653,143.915593434772
C,R10PAC_OECD,1.5C (High-Ambition),gap_GJ_pc,7,7,9.00201799164766,6.11560969549242,-2.88640829615524
C,R10PAC_OECD,1.5C (High-Ambition),headcount_pct,7,7,2.52920058837092,1.79117978244348,-0.7380208059274398
C,R10PAC_OECD,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,106.424900189605,143.429969661013,37.00506947140799
C,R10PAC_OECD,2C (Medium-Ambition),gap_GJ_pc,63,62,3.93397976431725,4.47078805688305,0.5368082925658002
C,R10PAC_OECD,2C (Medium-Ambition),headcount_pct,63,62,1.16179725323399,1.12898134049835,-0.032815912735639996
C,R10PAC_OECD,2C (Medium-Ambition),net_re_jobs_per_1k,63,62,141.195759452254,145.943477944752,4.747718492497995
C,R10REF_ECON,1.5C (High-Ambition),gap_GJ_pc,7,7,1.77096374317393,1.31153392072612,-0.45942982244780994
C,R10REF_ECON,1.5C (High-Ambition),headcount_pct,7,7,0.755059175615771,0.559635226214266,-0.19542394940150498
C,R10REF_ECON,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,440.264777239782,866.589295959827,426.32451872004503
C,R10REF_ECON,2C (Medium-Ambition),gap_GJ_pc,63,63,1.37915849805673,2.18720688980904,0.80804839175231
C,R10REF_ECON,2C (Medium-Ambition),headcount_pct,63,63,0.576277186869923,0.677437509445102,0.10116032257517893
C,R10REF_ECON,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,277.878262722709,911.366905273495,633.488642550786
C,R10REST_ASIA,1.5C (High-Ambition),gap_GJ_pc,7,7,11.3478220478673,10.6536473314479,-0.6941747164194005
C,R10REST_ASIA,1.5C (High-Ambition),headcount_pct,7,7,5.30264342796993,4.7267559333847204,-0.5758874945852099
C,R10REST_ASIA,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,171.367943495582,570.923642913954,399.555699418372
C,R10REST_ASIA,2C (Medium-Ambition),gap_GJ_pc,63,63,3.73045461854584,10.7076476743223,6.9771930557764605
C,R10REST_ASIA,2C (Medium-Ambition),headcount_pct,63,63,1.99865881098902,5.08995310732928,3.0912942963402603
C,R10REST_ASIA,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,99.9973723708854,210.840504595208,110.84313222432259
