"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10REST_ASIA","C3","Fossil CCS",18507.8531,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10REST_ASIA","C3","Renewable Capacity",195710.3683,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10REST_ASIA","C3","Total CDR",18507.8531,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10AFRICA","C3","Fossil CCS",3485.1366,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10AFRICA","C3","Renewable Capacity",172072.7606,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10AFRICA","C3","Total CDR",3485.1366,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10CHINA+","C3","Fossil CCS",130890.6231,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10CHINA+","C3","Renewable Capacity",734063.1255,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10CHINA+","C3","Total CDR",130890.6231,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10EUROPE","C3","Fossil CCS",21905.8356,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10EUROPE","C3","Renewable Capacity",309326.7251,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10EUROPE","C3","Total CDR",21905.8356,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10INDIA+","C3","Fossil CCS",9850.6516,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10INDIA+","C3","Renewable Capacity",472269.4734,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10INDIA+","C3","Total CDR",9850.6516,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10LATIN_AM","C3","Fossil CCS",3409.0627,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10LATIN_AM","C3","Renewable Capacity",102104.9991,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10LATIN_AM","C3","Total CDR",3409.0627,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10MIDDLE_EAST","C3","Fossil CCS",7485.3468,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10MIDDLE_EAST","C3","Renewable Capacity",238197.1312,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10MIDDLE_EAST","C3","Total CDR",7485.3468,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10NORTH_AM","C3","Fossil CCS",27260.7486,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10NORTH_AM","C3","Renewable Capacity",334702.6526,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10NORTH_AM","C3","Total CDR",27260.7486,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10PAC_OECD","C3","Fossil CCS",8494.1928,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10PAC_OECD","C3","Renewable Capacity",96888.17,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10PAC_OECD","C3","Total CDR",8494.1928,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10REF_ECON","C3","Fossil CCS",23694.982,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10REF_ECON","C3","Renewable Capacity",219113.8498,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10REF_ECON","C3","Total CDR",23694.982,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10REST_ASIA","C3","Fossil CCS",20868.7611,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10REST_ASIA","C3","Renewable Capacity",236898.3896,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","COMPASS_ENGAGE-Feasibility-1000/Institutional","R10REST_ASIA","C3","Total CDR",20868.7611,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10AFRICA","C3","Fossil CCS",2797.7651,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10AFRICA","C3","Renewable Capacity",210667.5199,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10AFRICA","C3","Total CDR",2797.7651,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10CHINA+","C3","Fossil CCS",101948.9567,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10CHINA+","C3","Renewable Capacity",791371.901,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10CHINA+","C3","Total CDR",101948.9567,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10EUROPE","C3","Fossil CCS",16205.7939,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10EUROPE","C3","Renewable Capacity",382881.3504,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10EUROPE","C3","Total CDR",16205.7939,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10INDIA+","C3","Fossil CCS",5993.919,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10INDIA+","C3","Renewable Capacity",508552.2173,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10INDIA+","C3","Total CDR",5993.919,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10LATIN_AM","C3","Fossil CCS",3040.9208,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10LATIN_AM","C3","Renewable Capacity",127007.9665,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10LATIN_AM","C3","Total CDR",3040.9208,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10MIDDLE_EAST","C3","Fossil CCS",5714.7408,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10MIDDLE_EAST","C3","Renewable Capacity",286834.2895,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10MIDDLE_EAST","C3","Total CDR",5714.7408,FALSE
