database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,High-CMT,High-RE,n_High-CMT,n_High-RE,raw_advantage_high_re,direction
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10AFRICA,gap_GJ_pc,16.379625962408028,10.563665830195236,67,67,5.815960132212792,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10AFRICA,headcount_pct,4.389053215161124,3.0798774446495982,67,67,1.309175770511526,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10CHINA+,gap_GJ_pc,5.517053756698951,4.144276197244212,67,67,1.3727775594547396,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10CHINA+,headcount_pct,2.563963112498297,1.816496845365597,67,67,0.7474662671327001,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10EUROPE,gap_GJ_pc,0.03974871703288651,0.00877529370571813,67,67,0.03097342332716838,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10EUROPE,headcount_pct,0.022514251251918114,0.006182277414736433,67,67,0.01633197383718168,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10INDIA+,gap_GJ_pc,0.8529871815787208,0.31111919162053175,67,67,0.5418679899581891,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10INDIA+,headcount_pct,0.5436797577997345,0.2493786445983616,67,67,0.294301113201373,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10LATIN_AM,gap_GJ_pc,26.54988801342477,16.029084673563563,67,67,10.520803339861207,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10LATIN_AM,headcount_pct,7.977052604228348,4.378931718045749,67,67,3.598120886182599,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10MIDDLE_EAST,gap_GJ_pc,0.4156765729436118,0.8926421292470921,67,67,-0.47696555630348025,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10MIDDLE_EAST,headcount_pct,0.31249102466066514,0.3169227623755818,67,67,-0.0044317377149166726,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10NORTH_AM,gap_GJ_pc,0.012876650403023576,0.007905577686334953,67,67,0.004971072716688623,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10NORTH_AM,headcount_pct,0.005452472491998343,0.003338133046587671,67,67,0.002114339445410672,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10PAC_OECD,gap_GJ_pc,0.02939232516636522,0.04345956720114102,67,67,-0.014067242034775797,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10PAC_OECD,headcount_pct,0.017757246445661942,0.03057067508140405,67,67,-0.012813428635742106,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10REF_ECON,gap_GJ_pc,1.9127017521180218,1.658401301508317,67,67,0.25430045060970485,High-RE
