database,ambition,Region,outcome,baseline_advantage,baseline_direction,min_advantage,max_advantage,n_specs,n_high_re,n_high_cmt,n_tie,direction_stable
SCI-vetted,All ambitions,R10EUROPE,headcount_pct,-0.012617121308639345,High-CMT,-0.07788080615955484,2.3283593678918826,27,13,14,0,FALSE
SCI-vetted,All ambitions,R10INDIA+,gap_GJ_pc,2.725826628202866,High-RE,0.025511123167806612,25.234613011234735,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10INDIA+,headcount_pct,0.5536216079748506,High-RE,-0.01609565254421605,3.654738195156182,27,25,2,0,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,gap_GJ_pc,11.412911073024958,High-RE,1.0671149429724256,45.73822949725246,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10LATIN_AM,headcount_pct,2.940717721776668,High-RE,0.5297752269950555,5.010801435289586,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,-3.0808147909867243,High-CMT,-18.127225735672514,-0.1334911913136831,27,0,27,0,TRUE
SCI-vetted,All ambitions,R10MIDDLE_EAST,headcount_pct,-0.11118132168953232,High-CMT,-0.3234960243848375,1.207484104556749,27,7,20,0,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,gap_GJ_pc,0.5455319987446859,High-RE,1.1241631368328549e-4,25.561987538622176,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10NORTH_AM,headcount_pct,0.2159958270126983,High-RE,9.651556959067579e-5,3.950043014999574,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10PAC_OECD,gap_GJ_pc,-0.16132885946893105,High-CMT,-1.6785002496047197,0.629182541364802,27,2,25,0,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,headcount_pct,-0.061546131553504996,High-CMT,-0.3830285445599122,-4.05119960581189e-4,27,0,27,0,TRUE
SCI-vetted,All ambitions,R10REF_ECON,gap_GJ_pc,0.7469678076643191,High-RE,-0.6896939116865166,9.860562646239899,27,21,6,0,FALSE
SCI-vetted,All ambitions,R10REF_ECON,headcount_pct,0.3994595034135684,High-RE,-0.02189333593609602,4.022577873213519,27,25,2,0,FALSE
SCI-vetted,All ambitions,R10REST_ASIA,gap_GJ_pc,-17.614119288730272,High-CMT,-60.45373487151723,-2.4423692712041243,27,0,27,0,TRUE
SCI-vetted,All ambitions,R10REST_ASIA,headcount_pct,-1.2089178717953741,High-CMT,-2.016523011228835,-0.6172485558663041,27,0,27,0,TRUE
