database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,Pathway,n_scenarios,median
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REST_ASIA,headcount_pct,High-CMT,223,1.7041041076324857
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REST_ASIA,headcount_pct,High-RE,230,1.795079711024987
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,Aggregated R10 regions,gap_GJ_pc,High-CMT,293,7.690865075573445
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,Aggregated R10 regions,gap_GJ_pc,High-RE,297,5.431363169855971
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,Aggregated R10 regions,headcount_pct,High-CMT,293,2.793603442999915
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,Aggregated R10 regions,headcount_pct,High-RE,297,1.9760026651341949
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10AFRICA,gap_GJ_pc,High-CMT,290,21.02541641980898
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10AFRICA,gap_GJ_pc,High-RE,297,12.466650568205157
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10AFRICA,headcount_pct,High-CMT,290,5.410653232647063
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10AFRICA,headcount_pct,High-RE,297,3.6883274017378835
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10CHINA+,gap_GJ_pc,High-CMT,293,5.715334482997271
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10CHINA+,gap_GJ_pc,High-RE,297,4.668481772314748
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10CHINA+,headcount_pct,High-CMT,293,2.4570888557323225
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10CHINA+,headcount_pct,High-RE,297,2.124023271769002
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10EUROPE,gap_GJ_pc,High-CMT,293,0.027605203579220135
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10EUROPE,gap_GJ_pc,High-RE,297,0.012393686997588502
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10EUROPE,headcount_pct,High-CMT,293,0.016234695580444523
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10EUROPE,headcount_pct,High-RE,297,0.00948131857016216
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10INDIA+,gap_GJ_pc,High-CMT,290,0.8929340819112681
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10INDIA+,gap_GJ_pc,High-RE,297,0.32183516315444294
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10INDIA+,headcount_pct,High-CMT,290,0.5543801909688792
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10INDIA+,headcount_pct,High-RE,297,0.259865746434153
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10LATIN_AM,gap_GJ_pc,High-CMT,293,30.105096669124222
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10LATIN_AM,gap_GJ_pc,High-RE,297,20.473320146049378
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10LATIN_AM,headcount_pct,High-CMT,293,8.676944397792083
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10LATIN_AM,headcount_pct,High-RE,297,5.656839217744141
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,High-CMT,290,0.5140712065089654
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,High-RE,297,1.09433471538237
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10MIDDLE_EAST,headcount_pct,High-CMT,290,0.3126118165113422
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10MIDDLE_EAST,headcount_pct,High-RE,297,0.4045507177730894
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10NORTH_AM,gap_GJ_pc,High-CMT,293,0.015515073871312506
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10NORTH_AM,gap_GJ_pc,High-RE,297,0.010889875647163235
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10NORTH_AM,headcount_pct,High-CMT,293,0.006182879564759816
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10NORTH_AM,headcount_pct,High-RE,297,0.005460767428169101
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10PAC_OECD,gap_GJ_pc,High-CMT,290,0.02301128655155514
