database,ambition_view,Region,excluded_family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,direction_coded_difference_million_deaths,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip
SCI-vetted,All ambitions,Aggregated R10 regions,IMAGE,43,65,407.65341,442.093405,-34.43999500000001,-8.448351995878069,High-CDR,-5.247704950195391,High-CDR,FALSE
SCI-vetted,All ambitions,Aggregated R10 regions,MESSAGEix,69,66,420.124325,442.1323075,-22.007982500000026,-5.2384451911943035,High-CDR,-5.247704950195391,High-CDR,FALSE
SCI-vetted,All ambitions,Aggregated R10 regions,POLES,26,69,520.9916250000001,442.17121,78.82041500000014,15.128921698117532,High-RE,-5.247704950195391,High-CDR,TRUE
SCI-vetted,All ambitions,Aggregated R10 regions,REMIND,69,42,420.124325,442.928635,-22.804309999999987,-5.427990869131414,High-CDR,-5.247704950195391,High-CDR,FALSE
SCI-vetted,All ambitions,Aggregated R10 regions,WITCH,69,41,420.124325,451.85919,-31.734865000000013,-7.55368425763017,High-CDR,-5.247704950195391,High-CDR,FALSE
SCI-vetted,All ambitions,R10AFRICA,GCAM,69,62,73.7414,76.1605325,-2.4191325000000035,-3.2805622079320482,High-CDR,-6.483108538758428,High-CDR,FALSE
SCI-vetted,All ambitions,R10AFRICA,IMAGE,43,65,72.75155,78.63205,-5.880500000000012,-8.082989297135267,High-CDR,-6.483108538758428,High-CDR,FALSE
SCI-vetted,All ambitions,R10AFRICA,MESSAGEix,69,66,73.7414,78.64586249999999,-4.904462499999994,-6.650894205968417,High-CDR,-6.483108538758428,High-CDR,FALSE
SCI-vetted,All ambitions,R10AFRICA,POLES,26,69,77.36427,78.522135,-1.157865000000001,-1.4966405034261954,High-CDR,-6.483108538758428,High-CDR,FALSE
SCI-vetted,All ambitions,R10AFRICA,REMIND,69,42,73.7414,67.42376999999999,6.317630000000008,8.567276997724491,High-RE,-6.483108538758428,High-CDR,TRUE
SCI-vetted,All ambitions,R10AFRICA,WITCH,69,41,73.7414,78.904725,-5.163325,-7.001935140911347,High-CDR,-6.483108538758428,High-CDR,FALSE
SCI-vetted,All ambitions,R10CHINA+,GCAM,69,62,81.837665,92.16260750000001,-10.324942500000006,-12.616369858548635,High-CDR,-12.867406468647408,High-CDR,FALSE
SCI-vetted,All ambitions,R10CHINA+,IMAGE,43,65,78.61779,92.555285,-13.937494999999998,-17.728169413055237,High-CDR,-12.867406468647408,High-CDR,FALSE
SCI-vetted,All ambitions,R10CHINA+,MESSAGEix,69,66,81.837665,92.16260750000001,-10.324942500000006,-12.616369858548635,High-CDR,-12.867406468647408,High-CDR,FALSE
SCI-vetted,All ambitions,R10CHINA+,POLES,26,69,99.310075,92.36805,6.942025000000001,6.990252499557574,High-RE,-12.867406468647408,High-CDR,TRUE
SCI-vetted,All ambitions,R10CHINA+,REMIND,69,42,81.837665,94.40337,-12.565704999999994,-15.354427573171831,High-CDR,-12.867406468647408,High-CDR,FALSE
SCI-vetted,All ambitions,R10CHINA+,WITCH,69,41,81.837665,88.20026,-6.362594999999999,-7.77465363900595,High-CDR,-12.867406468647408,High-CDR,FALSE
SCI-vetted,All ambitions,R10EUROPE,GCAM,69,62,12.232365,17.778885000000002,-5.546520000000003,-45.342989683515846,High-CDR,-45.70800495243561,High-CDR,FALSE
SCI-vetted,All ambitions,R10EUROPE,IMAGE,43,65,12.036045,17.818885,-5.782840000000002,-48.04601511543038,High-CDR,-45.70800495243561,High-CDR,FALSE
SCI-vetted,All ambitions,R10EUROPE,MESSAGEix,69,66,12.232365,17.8272925,-5.594927499999999,-45.73872264275959,High-CDR,-45.70800495243561,High-CDR,FALSE
SCI-vetted,All ambitions,R10EUROPE,POLES,26,69,21.986829999999998,17.823535,4.163294999999998,18.935403602975047,High-RE,-45.70800495243561,High-CDR,TRUE
SCI-vetted,All ambitions,R10EUROPE,REMIND,69,42,12.232365,18.00085,-5.768485,-47.15756110940117,High-CDR,-45.70800495243561,High-CDR,FALSE
SCI-vetted,All ambitions,R10EUROPE,WITCH,69,41,12.232365,12.651685,-0.4193200000000008,-3.4279552645788516,High-CDR,-45.70800495243561,High-CDR,FALSE
SCI-vetted,All ambitions,R10INDIA+,GCAM,69,62,115.212715,95.9684125,19.244302500000003,16.70328010237412,High-RE,16.599005587187147,High-RE,FALSE
SCI-vetted,All ambitions,R10INDIA+,IMAGE,43,65,109.769475,96.073765,13.695710000000005,12.476792842454612,High-RE,16.599005587187147,High-RE,FALSE
SCI-vetted,All ambitions,R10INDIA+,MESSAGEix,69,66,115.212715,96.073765,19.13895000000001,16.611838372179676,High-RE,16.599005587187147,High-RE,FALSE
SCI-vetted,All ambitions,R10INDIA+,POLES,26,69,155.23187000000001,96.08855,59.14332000000002,38.09998552487966,High-RE,16.599005587187147,High-RE,FALSE
SCI-vetted,All ambitions,R10INDIA+,REMIND,69,42,115.212715,93.22845000000001,21.984264999999994,19.081457285335212,High-RE,16.599005587187147,High-RE,FALSE
SCI-vetted,All ambitions,R10INDIA+,WITCH,69,41,115.212715,108.78237,6.430345000000003,5.581280677223865,High-RE,16.599005587187147,High-RE,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,GCAM,69,62,13.423695,15.402305,-1.9786099999999998,-14.739682330386676,High-CDR,-14.802369988293083,High-CDR,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,IMAGE,43,65,13.310275,15.402855,-2.09258,-15.721538435531945,High-CDR,-14.802369988293083,High-CDR,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,MESSAGEix,69,66,13.423695,15.4124325,-1.9887374999999992,-14.81512728052894,High-CDR,-14.802369988293083,High-CDR,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,POLES,26,69,22.382847499999997,15.41072,6.972127499999997,31.14942144872317,High-RE,-14.802369988293083,High-CDR,TRUE
SCI-vetted,All ambitions,R10LATIN_AM,REMIND,69,42,13.423695,15.402305,-1.9786099999999998,-14.739682330386676,High-CDR,-14.802369988293083,High-CDR,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,WITCH,69,41,13.423695,15.644565,-2.2208699999999997,-16.54440152282959,High-CDR,-14.802369988293083,High-CDR,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,GCAM,69,62,43.605375,55.152155,-11.546779999999998,-26.480175895746793,High-CDR,-14.828710910065547,High-CDR,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,IMAGE,43,65,43.3293,51.59405,-8.26475,-19.07427537486181,High-CDR,-14.828710910065547,High-CDR,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,MESSAGEix,69,66,43.605375,49.24402,-5.638644999999997,-12.93107787744056,High-CDR,-14.828710910065547,High-CDR,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,POLES,26,69,47.0313575,50.07149,-3.0401324999999986,-6.464054328008709,High-CDR,-14.828710910065547,High-CDR,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,REMIND,69,42,43.605375,68.02341,-24.418034999999996,-55.99776403711697,High-CDR,-14.828710910065547,High-CDR,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,WITCH,69,41,43.605375,46.817945,-3.2125699999999995,-7.367371568298632,High-CDR,-14.828710910065547,High-CDR,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,GCAM,69,62,6.70137,10.546947500000002,-3.845577500000002,-57.38494516792838,High-CDR,-57.572183001386286,High-CDR,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,IMAGE,43,65,6.54919,10.559875,-4.010685,-61.239405178350296,High-CDR,-57.572183001386286,High-CDR,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,MESSAGEix,69,66,6.70137,10.560212499999999,-3.858842499999999,-57.582889767316225,High-CDR,-57.572183001386286,High-CDR,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,POLES,26,69,10.69381,10.559495,0.13431499999999907,1.2560069797387374,High-RE,-57.572183001386286,High-CDR,TRUE
SCI-vetted,All ambitions,R10NORTH_AM,REMIND,69,42,6.70137,10.604115,-3.9027450000000004,-58.23801700249353,High-CDR,-57.572183001386286,High-CDR,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,WITCH,69,41,6.70137,9.817225,-3.1158550000000007,-46.49579115912121,High-CDR,-57.572183001386286,High-CDR,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,GCAM,69,62,4.495145,5.27101,-0.7758650000000005,-17.260066138022253,High-CDR,-17.287762686186994,High-CDR,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,IMAGE,43,65,4.42293,5.27192,-0.8489899999999997,-19.195194136013903,High-CDR,-17.287762686186994,High-CDR,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,MESSAGEix,69,66,4.495145,5.271965,-0.7768199999999998,-17.28131128139359,High-CDR,-17.287762686186994,High-CDR,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,POLES,26,69,6.165635,5.272255,0.8933799999999996,14.489667325425518,High-RE,-17.287762686186994,High-CDR,TRUE
SCI-vetted,All ambitions,R10PAC_OECD,REMIND,69,42,4.495145,5.3285800000000005,-0.8334350000000006,-18.54078122062805,High-CDR,-17.287762686186994,High-CDR,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,WITCH,69,41,4.495145,3.74459,0.7505549999999999,16.69701422312294,High-RE,-17.287762686186994,High-CDR,TRUE
SCI-vetted,All ambitions,R10REF_ECON,GCAM,69,62,13.31229,14.922957499999999,-1.6106674999999981,-12.099101657190445,High-CDR,-14.276394219176403,High-CDR,FALSE
SCI-vetted,All ambitions,R10REF_ECON,IMAGE,43,65,13.156545,15.32062,-2.1640750000000004,-16.44865730326617,High-CDR,-14.276394219176403,High-CDR,FALSE
SCI-vetted,All ambitions,R10REF_ECON,MESSAGEix,69,66,13.31229,15.2667125,-1.9544224999999997,-14.681339574182951,High-CDR,-14.276394219176403,High-CDR,FALSE
SCI-vetted,All ambitions,R10REF_ECON,POLES,26,69,14.691894999999999,15.212805,-0.5209100000000007,-3.545560324246809,High-CDR,-14.276394219176403,High-CDR,FALSE
SCI-vetted,All ambitions,R10REF_ECON,REMIND,69,42,13.31229,16.5954025,-3.283112499999998,-24.662266972849885,High-CDR,-14.276394219176403,High-CDR,FALSE
SCI-vetted,All ambitions,R10REF_ECON,WITCH,69,41,13.31229,13.554465,-0.24217499999999959,-1.819183626558613,High-CDR,-14.276394219176403,High-CDR,FALSE
SCI-vetted,All ambitions,R10REST_ASIA,GCAM,69,62,56.248365,55.008390000000006,1.239974999999994,2.2044640764224774,High-RE,1.9740840467096288,High-RE,FALSE
SCI-vetted,All ambitions,R10REST_ASIA,IMAGE,43,65,54.41549,55.056995,-0.6415050000000022,-1.1789014488337828,High-CDR,1.9740840467096288,High-RE,TRUE
SCI-vetted,All ambitions,R10REST_ASIA,MESSAGEix,69,66,56.248365,55.0730025,1.1753624999999985,2.0895940708676575,High-RE,1.9740840467096288,High-RE,FALSE
SCI-vetted,All ambitions,R10REST_ASIA,POLES,26,69,67.33524249999999,55.137975,12.197267499999995,18.114240102424816,High-RE,1.9740840467096288,High-RE,FALSE
