database,ambition_view,Region,family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_relative_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,R10PAC_OECD,MESSAGEix,95,24,5.498055,5.432485,-0.13771929824561405,TRUE,TRUE,0.06557000000000013,1.1926035661702208,0.13771929824561405,High-RE,33.79008683934925,High-RE,TRUE
Full,All ambitions,R10PAC_OECD,POLES,60,0,4.3842375,NA,NA,FALSE,FALSE,NA,NA,NA,NA,33.79008683934925,High-RE,FALSE
Full,All ambitions,R10PAC_OECD,REMIND,0,184,NA,3.61564,NA,FALSE,FALSE,NA,NA,NA,NA,33.79008683934925,High-RE,FALSE
Full,All ambitions,R10PAC_OECD,WITCH,8,7,5.27343,5.259845,-0.17857142857142858,TRUE,TRUE,0.013584999999999958,0.25761221823367253,0.17857142857142858,High-RE,33.79008683934925,High-RE,TRUE
Full,All ambitions,R10REF_ECON,AIM,21,4,15.97333,15.78453,-0.3333333333333333,TRUE,TRUE,0.18880000000000052,1.1819701965714131,0.3333333333333333,High-RE,6.738086132221376,High-RE,TRUE
Full,All ambitions,R10REF_ECON,GCAM,3,5,16.892915,15.63072,-0.6,TRUE,TRUE,1.2621949999999984,7.4717418515395275,0.6,High-RE,6.738086132221376,High-RE,TRUE
Full,All ambitions,R10REF_ECON,IMAGE,59,2,14.538095,13.8235675,-0.4576271186440678,TRUE,FALSE,0.7145275000000009,4.914863329755383,0.4576271186440678,High-RE,6.738086132221376,High-RE,TRUE
Full,All ambitions,R10REF_ECON,MESSAGEix,95,24,14.34453,14.621295,0.3043859649122807,TRUE,TRUE,-0.27676499999999926,-1.9294114202417176,-0.3043859649122807,High-CDR,6.738086132221376,High-RE,FALSE
Full,All ambitions,R10REF_ECON,POLES,60,0,13.071515000000002,NA,NA,FALSE,FALSE,NA,NA,NA,NA,6.738086132221376,High-RE,FALSE
Full,All ambitions,R10REF_ECON,REMIND,0,184,NA,13.154495,NA,FALSE,FALSE,NA,NA,NA,NA,6.738086132221376,High-RE,FALSE
Full,All ambitions,R10REF_ECON,WITCH,8,7,16.160645,16.038765,-0.4642857142857143,TRUE,TRUE,0.12187999999999732,0.7541778190164893,0.4642857142857143,High-RE,6.738086132221376,High-RE,TRUE
Full,All ambitions,R10REST_ASIA,AIM,21,4,61.59996,60.43478,-0.6190476190476191,TRUE,TRUE,1.1651799999999994,1.8915272022903902,0.6190476190476191,High-RE,2.6753564149260862,High-RE,TRUE
Full,All ambitions,R10REST_ASIA,GCAM,3,5,76.107635,60.82658,-0.7333333333333333,TRUE,TRUE,15.281055000000002,20.078215543026662,0.7333333333333333,High-RE,2.6753564149260862,High-RE,TRUE
Full,All ambitions,R10REST_ASIA,IMAGE,59,2,66.703495,70.06477,0.4406779661016949,TRUE,FALSE,-3.361274999999992,-5.039128759295134,-0.4406779661016949,High-CDR,2.6753564149260862,High-RE,FALSE
Full,All ambitions,R10REST_ASIA,MESSAGEix,95,24,58.193345,57.80909,-0.22456140350877193,TRUE,TRUE,0.3842550000000031,0.660307462992552,0.22456140350877193,High-RE,2.6753564149260862,High-RE,TRUE
Full,All ambitions,R10REST_ASIA,POLES,60,0,53.74041,NA,NA,FALSE,FALSE,NA,NA,NA,NA,2.6753564149260862,High-RE,FALSE
Full,All ambitions,R10REST_ASIA,REMIND,0,184,NA,57.277227499999995,NA,FALSE,FALSE,NA,NA,NA,NA,2.6753564149260862,High-RE,FALSE
Full,All ambitions,R10REST_ASIA,WITCH,8,7,49.934704999999994,50.309695,0.21428571428571427,TRUE,TRUE,-0.37499000000000393,-0.7509606795514342,-0.21428571428571427,High-CDR,2.6753564149260862,High-RE,FALSE
Full,1.5C,Aggregated R10 regions,AIM,1,0,414.809565,NA,NA,FALSE,FALSE,NA,NA,NA,NA,1.8464564837231334,High-RE,FALSE
Full,1.5C,Aggregated R10 regions,GCAM,0,1,NA,443.68606,NA,FALSE,FALSE,NA,NA,NA,NA,1.8464564837231334,High-RE,FALSE
Full,1.5C,Aggregated R10 regions,IMAGE,23,0,471.680905,NA,NA,FALSE,FALSE,NA,NA,NA,NA,1.8464564837231334,High-RE,FALSE
Full,1.5C,Aggregated R10 regions,MESSAGEix,23,3,420.83527,414.700365,-0.9420289855072463,TRUE,TRUE,6.134905000000003,1.457792499188579,0.9420289855072463,High-RE,1.8464564837231334,High-RE,TRUE
Full,1.5C,Aggregated R10 regions,POLES,4,0,390.3081075,NA,NA,FALSE,FALSE,NA,NA,NA,NA,1.8464564837231334,High-RE,FALSE
Full,1.5C,Aggregated R10 regions,REMIND,0,50,NA,418.4666725,NA,FALSE,FALSE,NA,NA,NA,NA,1.8464564837231334,High-RE,FALSE
Full,1.5C,Aggregated R10 regions,WITCH,6,0,421.55897000000004,NA,NA,FALSE,FALSE,NA,NA,NA,NA,1.8464564837231334,High-RE,FALSE
