"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"AIM/Hub-Global 2.0","SDI-2°C","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/Hub-Global 2.0","SDI-well-below-2°C","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"C-ROADS-5.005","Ratchet-1.5°C-allCDR","C2","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"C-ROADS-5.005","Ratchet-1.5°C-limCDR","C2","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"C-ROADS-5.005","Ratchet-1.5°C-limCDR-noOvershoot","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"C-ROADS-5.005","Ratchet-1.5°C-noCDR","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"C-ROADS-5.005","Ratchet-1.5°C-noCDR-noOvershoot","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"CGEM-ESM 1.0","China-2060-SSP2-2°C","C3","2C (Medium-Ambition)",219206.401045251,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-2°C-2020","C4","2C (Medium-Ambition)",487261.749689,1800608.63188949,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-2°C-2030","C4","2C (Medium-Ambition)",477451.5573045,1777772.45173701,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-Baseline","C4","2C (Medium-Ambition)",1327.0163475,1208863.18586111,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-Bridge","C3","2C (Medium-Ambition)",481733.5516775,1748085.10314151,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-Current-Policies","C4","2C (Medium-Ambition)",1112.340015,692217.262327375,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-GPP","C3","2C (Medium-Ambition)",150035.736049,1180724.7187111,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","COMMIT-NDCplus","C4","2C (Medium-Ambition)",1215.1490325,803312.04720296,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1000","C4","2C (Medium-Ambition)",216224.401972417,1584284.63343031,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1000-COV-NDCp","C4","2C (Medium-Ambition)",330741.989459,1484115.27726395,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1000-NDCp","C4","2C (Medium-Ambition)",355786.079614,1672230.32563561,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1000f","C3","2C (Medium-Ambition)",297504.948015242,1525754.39945961,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1000f-COV-NDCp","C4","2C (Medium-Ambition)",387372.5552285,1437620.41514013,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1000f-NDCp","C4","2C (Medium-Ambition)",425000.3404735,1578102.68653606,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1200","C4","2C (Medium-Ambition)",326495.97232863,1436260.93044105,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1200f","C3","2C (Medium-Ambition)",254424.610220584,1415919.73866737,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1400","C3","2C (Medium-Ambition)",183243.985435471,1292644.37657292,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1400f","C3","2C (Medium-Ambition)",211497.918807712,1344709.69575156,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1600","C3","2C (Medium-Ambition)",152737.545831367,1206789.08324233,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1600f","C3","2C (Medium-Ambition)",173736.097228695,1247018.57912879,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1800","C3","2C (Medium-Ambition)",129674.061040199,1100261.27319852,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-1800f","C3","2C (Medium-Ambition)",147879.426853883,1169665.77614028,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-2000","C3","2C (Medium-Ambition)",111886.319920252,1045263.48363866,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-2000f","C3","2C (Medium-Ambition)",119656.784575222,1076971.06454071,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-2500","C4","2C (Medium-Ambition)",51659.5079449858,899635.909959535,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-2500f","C4","2C (Medium-Ambition)",51659.5079449858,899635.909959535,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-400f","C2","1.5C (High-Ambition)",367099.657287327,1905176.26229361,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-500","C3","2C (Medium-Ambition)",255159.469535452,2194875.07329353,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-500f","C2","1.5C (High-Ambition)",363902.770520244,1863242.51448063,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-600","C3","2C (Medium-Ambition)",249174.699627625,2064936.37129687,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-600-COV-NDCp","C3","2C (Medium-Ambition)",367854.281956,1878395.44623946,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-600-NDCp","C3","2C (Medium-Ambition)",385207.027421,2088063.74304085,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-600f","C4","2C (Medium-Ambition)",351506.690817607,1789482.95017703,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-600f-COV-NDCp","C4","2C (Medium-Ambition)",459852.225863,1697601.51688194,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-600f-NDCp","C4","2C (Medium-Ambition)",489544.1715545,1861956.89308923,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-700","C3","2C (Medium-Ambition)",259605.049097918,1933307.67627399,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-700f","C4","2C (Medium-Ambition)",337654.419169346,1720655.75969548,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-800","C3","2C (Medium-Ambition)",216224.401972417,1799492.90861296,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-800f","C4","2C (Medium-Ambition)",326332.902976968,1656449.05917737,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-900","C3","2C (Medium-Ambition)",373482.58403418,1658585.07973137,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2030-900f","C4","2C (Medium-Ambition)",314653.64156337,1596477.82441686,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2100","C4","2C (Medium-Ambition)",1188.8100725,767492.088694195,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2100-COV-NDCp","C4","2C (Medium-Ambition)",1186.7738325,785238.061809548,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-INDCi2100-NDCp","C4","2C (Medium-Ambition)",1551.2548575,837712.6219247,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1000","C4","2C (Medium-Ambition)",220890.937354494,1608351.95824495,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1000-COV","C4","2C (Medium-Ambition)",325850.0761505,1422048.07161225,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1000f","C3","2C (Medium-Ambition)",319287.352614719,1553072.82208257,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1000f-COV","C3","2C (Medium-Ambition)",404626.5353425,1406886.51898745,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1200","C4","2C (Medium-Ambition)",202287.364207881,1488431.88170741,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1200f","C3","2C (Medium-Ambition)",274576.049742368,1454546.83843041,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1400","C3","2C (Medium-Ambition)",204319.352541648,1353849.88855989,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"COFFEE 1.1","ENGAGE-NPi2020-1400f","C3","2C (Medium-Ambition)",236361.225804196,1371093.70789084,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
