database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
Full,2C,R10AFRICA,total_energy_jobyears_per_1k,Employment,6,4,107.09628741644079,95.2986712980813,49.19843247428282,2.8706163043022777,5,1,3,1
Full,2C,R10CHINA+,gap_GJ_pc,DLE gap,6,4,4.660809670538377,5.748354592541182,-6.789108691087759,-3.888499854734307,3,3,1,3
Full,2C,R10CHINA+,headcount_pct,Deprived headcount,6,4,6.3033131685924495,6.4019116224146035,-5.55405651478743,-6.437088341367651,3,3,1,3
Full,2C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,5,3,2.974768633050971,2.25633908909809,3.1833770854713617,2.25633908909809,4,1,3,0
Full,2C,R10CHINA+,total_energy_jobyears_per_1k,Employment,6,4,12.306292836926199,13.631914952473286,7.963892793408477,13.631914952473286,4,2,3,1
Full,2C,R10EUROPE,gap_GJ_pc,DLE gap,6,4,-30.960907527292946,-21.660399520570593,-22.518586887345112,-21.660399520570593,0,6,0,4
Full,2C,R10EUROPE,headcount_pct,Deprived headcount,6,4,-33.1240408808832,-24.656989755450503,-22.018212223985763,-24.656989755450503,0,6,0,4
Full,2C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,5,3,8.498775901489271,5.472948381356661,7.700900563525767,5.472948381356661,5,0,3,0
Full,2C,R10EUROPE,total_energy_jobyears_per_1k,Employment,6,4,-1.9694982715444116,1.9012155636246904,2.3327691917896622,1.9012155636246904,3,3,2,2
Full,2C,R10INDIA+,gap_GJ_pc,DLE gap,6,4,7.522306890761207,10.210934802455036,-10.396314576296815,-12.53112389574477,4,2,2,2
Full,2C,R10INDIA+,headcount_pct,Deprived headcount,6,4,12.054871424996213,9.13038584568116,-6.080428885968628,-9.287397906536336,4,2,2,2
Full,2C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,5,3,7.963515406056784,4.5496055758459635,11.354505201058647,7.2929092262791055,5,0,3,0
Full,2C,R10INDIA+,total_energy_jobyears_per_1k,Employment,6,4,52.28909027459964,28.109574737467533,60.46303877761785,19.285402066835477,6,0,4,0
Full,2C,R10LATIN_AM,gap_GJ_pc,DLE gap,6,4,1.5593124008588752,-2.770775206808133,-6.101685479567175,-5.439644631701889,2,4,0,4
Full,2C,R10LATIN_AM,headcount_pct,Deprived headcount,6,4,4.416272410332931,2.1168924512821246,-3.3818310502556583,-3.742249257908361,4,2,2,2
Full,2C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,5,3,1.67371946165278,1.1939450773431504,1.96139248666841,0.6908674825268694,4,1,2,1
Full,2C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,6,4,-4.09323620676676,-16.46781593082371,-15.876405204425026,-16.46781593082371,2,4,1,3
Full,2C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,6,4,18.270665113601282,16.679347666522442,6.900613078333886,8.53878142479489,5,1,3,1
Full,2C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,6,4,18.933104663282627,21.54310248767441,3.9378761363016346,7.0037065870946185,4,2,2,2
Full,2C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,5,3,3.113347732195302,3.137191256411808,2.608343953522826,3.137191256411808,5,0,3,0
Full,2C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,6,4,114.68680764476312,29.314291120808818,39.37403087950737,29.314291120808818,5,1,4,0
Full,2C,R10NORTH_AM,gap_GJ_pc,DLE gap,6,4,-34.05721131773139,-24.137173530264302,-14.600901570696198,-24.137173530264302,1,5,1,3
Full,2C,R10NORTH_AM,headcount_pct,Deprived headcount,6,4,-38.764455172919156,-24.43941417530167,-14.70256632539825,-24.43941417530167,1,5,1,3
Full,2C,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,5,3,8.106526363566331,2.877105272194301,6.5480268287883465,2.877105272194301,5,0,3,0
Full,2C,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,6,4,12.801812117715913,5.511716827176867,19.061494915662532,5.511716827176867,4,2,3,1
Full,2C,R10PAC_OECD,gap_GJ_pc,DLE gap,6,4,-53.11492108965382,-23.776188509027076,-24.618943360005982,-23.776188509027076,0,6,0,4
Full,2C,R10PAC_OECD,headcount_pct,Deprived headcount,6,4,-53.565903369987765,-19.16178194916013,-21.781657267219625,-19.16178194916013,0,6,0,4
Full,2C,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,5,3,2.425538121208754,2.7051549853494272,2.8657622711375508,2.7051549853494272,5,0,3,0
Full,2C,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,6,4,10.124279599319866,1.163263919680323,6.764586980504352,1.163263919680323,3,3,2,2
Full,2C,R10REF_ECON,gap_GJ_pc,DLE gap,6,4,-6.353725292208228,10.97011115194029,-19.024894331633167,-1.955603146967558,4,2,2,2
Full,2C,R10REF_ECON,headcount_pct,Deprived headcount,6,4,-8.478499224844048,2.511547337560013,-23.606942657008226,-2.3661642262876845,3,3,1,3
Full,2C,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,5,3,2.3297916292946366,1.3744231089402958,1.5851201208861159,1.2246072880701029,4,1,2,1
Full,2C,R10REF_ECON,total_energy_jobyears_per_1k,Employment,6,4,-0.07147244565148567,-4.124964882173349,1.8357705829464777,-4.124964882173349,3,3,2,2
Full,2C,R10REST_ASIA,gap_GJ_pc,DLE gap,6,4,-18.258894521415716,3.39752793451944,-0.5405234563231556,3.39752793451944,3,3,2,2
Full,2C,R10REST_ASIA,headcount_pct,Deprived headcount,6,4,-12.894663343359985,0.20879250562642726,0.8729094586186357,0.20879250562642726,3,3,2,2
Full,2C,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,5,3,2.7521048930206047,1.9187662574172342,6.057866904510021,2.5588662395206367,4,1,3,0
Full,2C,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,6,4,54.96056273286873,29.673274750610034,43.95637017628368,29.673274750610034,5,1,4,0
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,1,1,4.7968582636930694,4.7968582636930694,4.7968582636930694,4.7968582636930694,1,0,1,0
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,1,1,11.691635336120791,11.691635336120791,11.691635336120791,11.691635336120791,1,0,1,0
