database,ambition_view,Region,outcome,outcome_label,excluded_family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,TIAM,261,305,290.5931862670737,396.1096431974228,105.51645693034914,36.31071267905531,High-RE,39.95689961878924,High-RE,FALSE,3.64618693973393
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,WITCH,265,289,274.2915650360962,397.6109696024644,123.31940456636823,44.95924056218778,High-RE,39.95689961878924,High-RE,FALSE,5.0023409433985435
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,AIM,272,283,0.42046685943423906,0.1994220996129187,0.22104475982132035,52.571268070627035,High-RE,48.91476564588643,High-RE,FALSE,3.6565024247406015
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,GCAM,260,292,0.43317203120061337,0.2000952498475328,0.23307678135308058,53.80697842080589,High-RE,48.91476564588643,High-RE,FALSE,4.892212774919457
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,IMAGE,222,295,0.3581122880223121,0.2003604948034039,0.1577517932189082,44.0509299722995,High-RE,48.91476564588643,High-RE,FALSE,4.863835673586934
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,MESSAGEix,194,270,0.5024249069538611,0.19709600079536968,0.3053289061584914,60.77105293399208,High-RE,48.91476564588643,High-RE,FALSE,11.856287288105648
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,POLES,233,288,0.35445764458067636,0.19953020439887856,0.1549274401817978,43.7083083269588,High-RE,48.91476564588643,High-RE,FALSE,5.206457318927633
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,REMIND,292,73,0.39347516304078267,0.41514003080339057,-0.021664867762607898,-5.506031840785435,High-CDR,48.91476564588643,High-RE,TRUE,54.420797486671866
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,WITCH,285,281,0.386583269127663,0.19884548481039704,0.18773778431726595,48.56334955749689,High-RE,48.91476564588643,High-RE,FALSE,0.3514160883895414
Full,All ambitions,R10EUROPE,headcount_pct,Deprived share,AIM,272,283,0.17236969469337987,0.1044874893701785,0.06788220532320137,39.38175178876644,High-RE,33.31240170038043,High-RE,FALSE,6.06935008838601
Full,All ambitions,R10EUROPE,headcount_pct,Deprived share,GCAM,260,292,0.17668883006891534,0.10336961696432093,0.07331921310459441,41.496235543580845,High-RE,33.31240170038043,High-RE,FALSE,8.183833843200418
Full,All ambitions,R10EUROPE,headcount_pct,Deprived share,IMAGE,222,295,0.13030689653112537,0.10420827343143464,0.02609862309969073,20.02858159810195,High-RE,33.31240170038043,High-RE,FALSE,13.283820102278476
Full,All ambitions,R10EUROPE,headcount_pct,Deprived share,MESSAGEix,194,270,0.2273041427821584,0.10233363233611742,0.12497051044604099,54.97942488703738,High-RE,33.31240170038043,High-RE,FALSE,21.667023186656955
