database,ambition_view,Region,outcome,outcome_label,family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points,family_n_cdr,family_n_re,family_effect_pct,family_favours,family_robust,family_agrees_with_pooled,targeted,target_reason
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,POLES,26,69,6.061609935954439,6.862270385057928,-0.8006604491034892,-13.208709527057685,High-CDR,1.2722345484502253,High-RE,TRUE,14.48094407550791,43,0,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,IMAGE,43,65,7.534701131085483,7.69841789740339,-0.16371676631790688,-2.1728368978362,High-CDR,1.2722345484502253,High-RE,TRUE,3.445071446286425,26,4,11.691635336120791,High-RE,TRUE,TRUE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,WITCH,69,41,6.950699586557095,4.8979921265013795,2.052707460055715,29.53238640935836,High-RE,1.2722345484502253,High-RE,FALSE,28.260151860908135,0,28,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,POLES,26,69,520.9916250000001,442.17121,78.82041500000014,15.128921698117532,High-RE,-5.247704950195391,High-CDR,TRUE,20.37662664831292,43,0,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,IMAGE,43,65,407.65341,442.093405,-34.43999500000001,-8.448351995878069,High-CDR,-5.247704950195391,High-CDR,FALSE,3.200647045682677,26,4,4.8277681047176335,High-RE,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
SCI-vetted,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,IMAGE,2,5,393.3719225,412.991225,-19.619302500000003,-4.9874689518543365,High-CDR,11.118371820114362,High-RE,TRUE,16.105840771968698,4,1,10.532177248829816,High-RE,FALSE,TRUE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,POLES,22,63,254.10843832204267,417.78545306114,163.67701473909733,64.4122705329692,High-RE,20.933518620205913,High-RE,FALSE,43.478751912763286,41,0,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,WITCH,63,35,345.4670448919984,501.27592780820913,155.80888291621073,45.10093950203571,High-RE,20.933518620205913,High-RE,FALSE,24.167420881829795,0,28,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,WITCH,63,35,19.046803905975818,13.38844445830292,5.658359447672897,29.707658437632265,High-RE,-7.5130047329606615,High-CDR,TRUE,37.22066317059293,0,28,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,MESSAGEix,63,60,19.046803905975818,16.150405424386527,2.8963984815892907,15.206742799932766,High-RE,-7.5130047329606615,High-CDR,TRUE,22.71974753289343,0,3,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,REMIND,63,39,19.046803905975818,32.74637135272396,-13.699567446748144,-71.92580715576112,High-CDR,-7.5130047329606615,High-CDR,FALSE,64.41280242280045,0,24,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,POLES,22,63,15.606900284556827,20.477791184909517,-4.8708909003526895,-31.20985468954704,High-CDR,-7.5130047329606615,High-CDR,FALSE,23.696849956586377,41,0,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,IMAGE,41,60,20.15286018675796,22.87247583161371,-2.7196156448557502,-13.494936300122577,High-CDR,-7.5130047329606615,High-CDR,FALSE,5.981931567161915,22,3,0.7059167713666906,High-RE,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
