database,Model,Scenario,Pathway,amb,family,project,Region,outcome,value,outcome_label,outcome_unit,lower_is_better
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,554.6281278863814,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,462.1013733186159,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,316.419592874883,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1876.5080217778493,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,407.3113107874636,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,193.77241735653254,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,519.0304797794015,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,238.64031852732353,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,477.21848215916293,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,251.7403236052445,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,496.7824351018834,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,412.915037563369,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,242.10143894473765,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1834.7340234929927,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,High-RE,1.5C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,322.5612884378998,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,131.1145838892585,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,459.8255118034127,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,215.98455878004418,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,343.7375496377323,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,196.5137987306994,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,370.8430529976502,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,425.40209973100747,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,214.95728296014897,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1393.3365617968013,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,High-RE,2C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,263.78872404857253,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,203.27863993999253,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,582.8304777119187,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,297.25309537357526,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,503.1221190360773,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,235.77991491233195,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,527.2332128739437,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,561.8374793920441,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,293.65103576975787,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1863.0507217449008,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,368.09819859796215,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,204.9200514828439,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,516.6417874258364,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,217.21248033456362,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,483.1064103099657,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,210.51501624527674,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,502.8277727529748,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,333.20837965846493,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,250.70789073041865,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1786.94447627749,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,329.9426861902058,Employment,"total energy-sector job-years per 1,000 people",FALSE
