database,ambition_view,Region,outcome,outcome_label,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
Full,2C,R10PAC_OECD,gap_GJ_pc,DLE gap,7,3,-28.274836711012295,-5.419123950337221,-60.29358999086752,-49.907839082639775,3,4,0,3,155,44
Full,2C,R10PAC_OECD,headcount_pct,Deprived share,7,3,-26.391492203267084,-11.07264057882359,-50.53262812750252,-50.04405302192275,3,4,0,3,155,44
Full,2C,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,6,2,2.8658846624327503,1.7101254100367513,1.449462015020059,1.449462015020059,5,1,2,0,97,26
Full,2C,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,7,3,9.725912263412743,4.736395736767747,-5.141849805190807,-1.4165528574553794,4,3,1,2,155,44
Full,2C,R10REF_ECON,gap_GJ_pc,DLE gap,7,3,1.0687012668884008,7.8925349859801015,5.123066647532786,2.578564048042366,5,2,2,1,155,44
Full,2C,R10REF_ECON,headcount_pct,Deprived share,7,3,-2.5810117474921985,2.865372653004029,0.93633506104812525,2.865372653004029,5,2,2,1,155,44
Full,2C,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,6,2,0.78412640846804,0.9983396315710527,0.11459385194197547,0.11459385194197547,4,2,1,1,97,26
Full,2C,R10REF_ECON,total_energy_jobyears_per_1k,Employment,7,3,24.582698881045886,23.377261951502263,2.24404258313434,-8.319745757408757,4,3,1,2,155,44
Full,2C,R10REST_ASIA,gap_GJ_pc,DLE gap,7,3,9.813545651494776,8.743353421362242,6.930108630752505,8.743353421362242,5,2,2,1,155,44
Full,2C,R10REST_ASIA,headcount_pct,Deprived share,7,3,9.91775367837254,12.168931968333936,10.611388734178561,12.168931968333936,4,3,2,1,155,44
Full,2C,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,6,2,2.0843983918697604,2.534382669960321,2.705729419264249,2.705729419264249,4,2,2,0,97,26
Full,2C,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,7,3,40.02389351707806,23.161527050865445,25.147285896831605,18.77953086982166,7,0,3,0,155,44
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,2,1,7.484056948752073,7.484056948752073,9.214195266472583,9.214195266472583,2,0,1,0,10,4
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,2,1,9.528347600618018,9.528347600618018,18.245020147879536,18.245020147879536,2,0,1,0,10,4
SCI-vetted,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,2,1,9.693540564737098,9.693540564737098,8.854903880644379,8.854903880644379,2,0,1,0,10,4
SCI-vetted,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,2,1,55.52107091279091,55.52107091279091,79.13342510486622,79.13342510486622,2,0,1,0,10,4
SCI-vetted,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,2,1,6.1541236323297515,6.1541236323297515,6.944507040694857,6.944507040694857,2,0,1,0,10,4
SCI-vetted,All ambitions,R10AFRICA,headcount_pct,Deprived share,2,1,7.220710358988581,7.220710358988581,17.71522459006215,17.71522459006215,1,1,1,0,10,4
SCI-vetted,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,2,1,8.759994759444027,8.759994759444027,8.682123203177643,8.682123203177643,2,0,1,0,10,4
SCI-vetted,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,2,1,120.58242910965588,120.58242910965588,183.67411492609935,183.67411492609935,2,0,1,0,10,4
SCI-vetted,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,2,1,7.6094133908353125,7.6094133908353125,19.686348675252038,19.686348675252038,1,1,1,0,10,4
SCI-vetted,All ambitions,R10CHINA+,headcount_pct,Deprived share,2,1,5.473927028020954,5.473927028020954,21.050182320596292,21.050182320596292,1,1,1,0,10,4
SCI-vetted,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,2,1,6.8192675897538395,6.8192675897538395,8.172013138668174,8.172013138668174,2,0,1,0,10,4
SCI-vetted,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,2,1,27.888462885767538,27.888462885767538,37.87945551552877,37.87945551552877,2,0,1,0,10,4
SCI-vetted,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,2,1,9.5472843673139,9.5472843673139,14.041552018683188,14.041552018683188,2,0,1,0,10,4
