database,ambition_view,Region,outcome,outcome_label,outcome_unit,lower_is_better,family,n_cdr,n_re,median_cdr,median_re,cliffs_delta_raw,comparable,robust,direction_coded_difference,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,AIM,21,14,0.42167526845628533,0.467627137260346,0.16326530612244897,TRUE,TRUE,-0.04595186880406066,-10.897454093593456,-0.16326530612244897,High-CDR,21.55341687358897,High-RE,FALSE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,COFFEE,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,21.55341687358897,High-RE,FALSE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,GCAM,33,5,0.43196438376068863,0.3256106612760649,-0.7454545454545455,TRUE,TRUE,0.10635372248462371,24.620947115756756,0.7454545454545455,High-RE,21.55341687358897,High-RE,TRUE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,IMAGE,71,2,0.5745418777352028,0.43394258918501516,-0.7464788732394366,TRUE,FALSE,0.14059928855018766,24.47154750571335,0.7464788732394366,High-RE,21.55341687358897,High-RE,TRUE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,MESSAGEix,99,27,0.48071967170924396,0.48352145364596955,-0.05798728020950243,TRUE,TRUE,-0.002801781936725589,-0.5828307226878381,0.05798728020950243,High-CDR,21.55341687358897,High-RE,FALSE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,POLES,60,9,0.2917419538287245,0.3728180442381717,0.6814814814814815,TRUE,TRUE,-0.08107609040944724,-27.790343262404182,-0.6814814814814815,High-CDR,21.55341687358897,High-RE,FALSE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,REMIND,1,224,0.8341005088137274,0.3432357167779181,-0.9910714285714286,TRUE,FALSE,0.49086479203580935,58.84959748243362,0.9910714285714286,High-RE,21.55341687358897,High-RE,TRUE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,TIAM,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,21.55341687358897,High-RE,FALSE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,WITCH,8,16,0.7166296000985826,0.32459668576514267,-0.96875,TRUE,TRUE,0.3920329143334399,54.70509650724868,0.96875,High-RE,21.55341687358897,High-RE,TRUE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,AIM,21,4,81.467685,77.63158999999999,-0.6904761904761905,TRUE,TRUE,3.8360950000000145,4.708732057379579,0.6904761904761905,High-RE,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,GCAM,3,5,98.47866,93.36785,-0.3333333333333333,TRUE,TRUE,5.110810000000001,5.189763954952271,0.3333333333333333,High-RE,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,IMAGE,59,2,96.10781,91.91886249999999,-0.3559322033898305,TRUE,FALSE,4.188947500000012,4.358592189334053,0.3559322033898305,High-RE,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,MESSAGEix,95,24,76.854625,76.23009,0.021929824561403508,TRUE,TRUE,0.6245349999999945,0.8126186290024765,-0.021929824561403508,High-RE,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,POLES,60,0,77.5147025,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,REMIND,0,184,NA,78.890895,NA,FALSE,FALSE,NA,NA,NA,NA,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,WITCH,8,7,88.70791,91.26728,0.5,TRUE,TRUE,-2.5593700000000013,-2.8851654829879334,-0.5,High-CDR,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,AIM,21,14,672.220306431907,532.9763123306018,-0.4897959183673469,TRUE,TRUE,-139.24399410130525,-20.714041627275662,-0.4897959183673469,High-CDR,39.95689961878924,High-RE,FALSE
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,COFFEE,0,8,NA,322.54766038757487,NA,FALSE,FALSE,NA,NA,NA,NA,39.95689961878924,High-RE,FALSE
